FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
,,,,,,,,Seth Watt,1
,,,,,,,,Daniel Ehlke,1
,,,,,,,,Tim Stretton,1
,,,,,,,,Sergio de Ferra,1
,,,,,,,,Christian Pill,1
,,,,,,,,Lixin Jin,1
,,,,,,,,N. Bansback,1
,,,,,,,,Caroline Horness,1
,,,,,,,,Roos Vonk,1
,,,,,,,,Jennifer Le Zotte,1
,,,,,,,,McManus,1
,,,,,,,,Chris Bain,1
,,,,,,,,Connor Black,1
,,,,,,,,William H. Page,1
,,,,,,,,Sian Butcher,1
,,,,,,,,Ray Lambert,1
,,,,,,,,Paul Thomas,1
,,,,,,,,Laura Werkmeister,1
,,,,,,,,Kavita Saraswathi Datla,1
,,,,,,,,Ian Lange,1
,,,,,,,,Marc Stierand,1
,,,,,,,,Melissa Curran,1
,,,,,,,,Yiyi Luan,1
,,,,,,,,Zhi He,1
,,,,,,,,Nikolayenko,1
,,,,,,,,Xiangting Bernice Lin,1
,,,,,,,,C. Munteanu,1
,,,,,,,,Matthias Sutter,1
,,,,,,,,Jordi Gall,1
,,,,,,,,Xu Yuhang,1
,,,,,,,,Marcello Mariani,1
,,,,,,,,Hakan Engin,1
,,,,,,,,Bruce Desmarais,1
,,,,,,,,Maureen Wallis,1
,,,,,,,,Constantine Sedikides,1
,,,,,,,,Robert Hall,1
,,,,,,,,Bochen Wu,1
,,,,,,,,Rashid Hamdan,1
,,,,,,,,Hugo Ferrer,1
,,,,,,,,Yves Gingras,1
,,,,,,,,Maria Teresa Ramirez,1
,,,,,,,,Spencer Anderson,1
,,,,,,,,M. R. Basso,1
,,,,,,,,Alexandra Besoi,1
,,,,,,,,Anne Roder,1
,,,,,,,,Chris Kubiak,1
,,,,,,,,andMaximilian Schaedlich,1
,,,,,,,,Leah Bouston,1
,,,,,,,,Timothy Montler,1
,,,,,,,,Shmuel Shulman,1
,,,,,,,,Isabel Aguirre Landa,1
,,,,,,,,Patrick Button,1
,,,,,,,,Yuanli Liu,1
,,,,,,,,Nuno Monteiro Pereira,1
,,,,,,,,Jean-Francois Knebel,1
,,,,,,,,Katelyn N. Buban,1
,,,,,,,,Yuliya Kaplan,1
,,,,,,,,Nia Jones,1
,,,,,,,,Sharon Risch,1
,,,,,,,,Genny Lim,1
,,,,,,,,Jennifer Bailey.,1
,,,,,,,,Kristina Caton,1
,,,,,,,,Ryan E. Carlin,1
,,,,,,,,James Hollyer,1
,,,,,,,,Lyanne Bakker,1
,,,,,,,,Stefan Scherbaum,1
,,,,,,,,Haley Yaremych,1
,,,,,,,,Lizette Castillos,1
,,,,,,,,Siyuan Guo,1
,,,,,,,,Francois-Eric Racicot,1
,,,,,,,,Fishback,1
,,,,,,,,Frank Fincham,1
,,,,,,,,Therese Enarsson,1
,,,,,,,,Edith Cloutier,1
,,,,,,,,Drs. Hill,1
,,,,,,,,Earl Thomas,1
,,,,,,,,Daisy Bear,1
,,,,,,,,Amy-May Leach,1
,,,,,,,,Jodi L. Viljoen,1
,,,,,,,,Sandra Peart,1
,,,,,,,,Nadine Grossmann,1
,,,,,,,,Reza Wattimena y Charlotte Olcay han sido tambien de gran ayuda,1
,,,,,,,,Jordan Dean,1
,,,,,,,,Rollo,1
,,,,,,,,L. Stitt,1
,,,,,,,,Mark Berridge,1
,,,,,,,,Viktoria Obolevich,1
,,,,,,,,Brittany Whiting,1
,,,,,,,,Karin Harman James,1
,,,,,,,,Rebecca Fowler,1
,,,,,,,,Jose Bauermeister,1
,,,,,,,,Jade Plym,1
,,,,,,,,Yifang Wang,1
,,,,,,,,Reddi Kotha,1
,,,,,,,,Ben Jee,1
,,,,,,,,Lucia Pradella,1
,,,,,,,,Ken Scheve,1
,,,,,,,,Lewis Siegelbaum,1
,,,,,,,,Jessica Dijkman,1
,,,,,,,,Cristina Di Domenico,1
,,,,,,,,Carmen Gonzalez,1
,,,,,,,,Matthew Quitasol,1
,,,,,,,,Michael Rochlitz,1
,,,,,,,,Barbara Bailey,1
,,,,,,,,Coplan,1
,,,,,,,,Erin Weatherstone,1
,,,,,,,,Sonja Drobnic,1
,,,,,,,,Suzanne,1
,,,,,,,,Hanna Konttinen,1
,,,,,,,,Eusko Jaurlaritza,1
,,,,,,,,Jr. Foundation Fellowship,1
,,,,,,,,T. Schilperoort,1
,,,,,,,,Seven Mattes,1
,,,,,,,,Deak Helton,1
,,,,,,,,R. Garthwin,1
,,,,,,,,Daan De Koning,1
,,,,,,,,Stacey Jones,1
,,,,,,,,Restituto Tibayan,1
,,,,,,,,Daniel Statman,1
,,,,,,,,Denise Rousseau,1
,,,,,,,,Gyorgy Hunyady,1
,,,,,,,,G. F. Woodman,1
,,,,,,,,Tess Lallemant,1
,,,,,,,,Kaitlin George,1
,,,,,,,,Natalie Cox,1
,,,,,,,,Karen Lauwers,1
,,,,,,,,Rafael Zambrana,1
,,,,,,,,Petri Beckerman,1
,,,,,,,,Annette Malinowski,1
,,,,,,,,Irving Llamasos Rosas,1
,,,,,,,,Can Ozen,1
,,,,,,,,Stefan Slater,1
,,,,,,,,S. Matyskova,1
,,,,,,,,Andrea Lang,1
,,,,,,,,Olle Sjoblom,1
,,,,,,,,Paul Woolley,1
,,,,,,,,Franco Wong,1
,,,,,,,,Julia Minson,1
,,,,,,,,Jan Ross,1
,,,,,,,,Xiujun Li,1
,,,,,,,,Alysha Kett,1
,,,,,,,,Giulia Meloni,1
,,,,,,,,Rick Pollay,1
,,,,,,,,Jakob Engel,1
,,,,,,,,John Mahoney,1
,,,,,,,,Barbara Kamler,1
,,,,,,,,Nonna Mayer,1
,,,,,,,,Pablo Barbera,1
,,,,,,,,Robert Nicholson,1
,,,,,,,,Yves Almecija,1
,,,,,,,,Elisabeth Kastenhofer,1
,,,,,,,,Eva Brucker,1
,,,,,,,,Terence E. Adderley Jr.,1
,,,,,,,,Aasim I. Padela,1
,,,,,,,,Minoru Omameuda,1
,,,,,,,,Claire Tsai,1
,,,,,,,,Gnanathusharan Rajendran,1
,,,,,,,,Lonna Davis,1
,,,,,,,,Sanj Choudhury,1
,,,,,,,,Eduardo Miguez,1
,,,,,,,,Sean Hanlon,1
,,,,,,,,Meredith Crowley,1
,,,,,,,,Yang Cao,1
,,,,,,,,A. Adoum,1
,,,,,,,,Manuel Vargas,1
,,,,,,,,Andrea Tesei,1
,,,,,,,,Christine Moll Murata,1
,,,,,,,,Jessica Kingsley,1
,,,,,,,,John D. Turner,1
,,,,,,,,Gordon H,1
,,,,,,,,Sylvie Roux,1
,,,,,,,,Jung-Joo Lee,1
,,,,,,,,Lynn Shore,1
,,,,,,,,Margaret Schabas,1
,,,,,,,,Ajai Gaur,1
,,,,,,,,Dr Virtanen,1
,,,,,,,,Michelle Pace,1
,,,,,,,,Peter Lanjouw,1
,,,,,,,,Francisco Ferreira,1
,,,,,,,,Wenjie Wu,1
,,,,,,,,Jennifer Nicholas,1
,,,,,,,,Alina Feldotto,1
,,,,,,,,Tony Schirato,1
,,,,,,,,Elizabeth Marrkilyi Ellis,1
,,,,,,,,Erwin de Gier,1
,,,,,,,,Antonio Feros,1
,,,,,,,,Kristen Triebel,1
,,,,,,,,Samantha Muka,1
,,,,,,,,Esther Nip,1
,,,,,,,,Melisa Arias-Valenzuela,1
,,,,,,,,Daniel Skarlicki,1
,,,,,,,,Gandhi,1
,,,,,,,,Idania Elizabeth Cater,1
,,,,,,,,N. L. Rau,1
,,,,,,,,Ivor Placca,1
,,,,,,,,Maree Teesson,1
,,,,,,,,Charles Raux,1
,,,,,,,,Kate Bransby-Adams,1
,,,,,,,,Simon Szreter,1
,,,,,,,,Dana Chesney,1
,,,,,,,,Jean Baptiste Humeau,1
,,,,,,,,James Sorensen,1
,,,,,,,,Valentina Rossi,1
,,,,,,,,Tracy K. Dennison,1
,,,,,,,,Franziska Einsle,1
,,,,,,,,Cuong Le Van,1
,,,,,,,,Emma Hayden,1
,,,,,,,,Steve Engleking,1
,,,,,,,,Michael Collyer,1
,,,,,,,,Marleen van Tetering,1
,,,,,,,,Carmen Malo de Molina,1
,,,,,,,,Roberto Marchionatti,1
,,,,,,,,Michael R. Waldmann,1
,,,,,,,,Seymour Drescher,1
,,,,,,,,Jacy Young,1
,,,,,,,,Amanda Miles,1
,,,,,,,,Luc Hens,1
,,,,,,,,Raphael Godefroy,1
,,,,,,,,Bart Vastenhouw,1
,,,,,,,,Patricia Symonds,1
,,,,,,,,Frank Howland,1
,,,,,,,,John Fell Fund,1
,,,,,,,,Gongmin Bao,1
,,,,,,,,Gabriel Cesar,1
,,,,,,,,Gregory S. Crawford,1
,,,,,,,,Volker Nitsch,1
,,,,,,,,Springer,1
,,,,,,,,Mark Brown,1
,,,,,,,,Motohiro Yogo,1
,,,,,,,,Christine J. Howitt,1
,,,,,,,,Z. Radak,1
,,,,,,,,Amrutha Sivakumar,1
,,,,,,,,Ananta Neelim,1
,,,,,,,,Gepson Absalom,1
,,,,,,,,Alfredo Garcia-Hiernaux,1
,,,,,,,,Giorgio Magri,1
,,,,,,,,Yasmine Bekkouche,1
,,,,,,,,Greg Siegle,1
,,,,,,,,Paul Carlile,1
,,,,,,,,Lena Zuskova,1
,,,,,,,,Nick Neave,1
,,,,,,,,Christian Strumpell,1
,,,,,,,,Zhifang Wei,1
,,,,,,,,Dave Lundquist,1
,,,,,,,,Kortetmaki,1
,,,,,,,,Ulf Bockenholt,1
,,,,,,,,Gary Lynn,1
,,,,,,,,William Goetzmann,1
,,,,,,,,Edmund Perozzi,1
,,,,,,,,Hanne Munch Kristiansen,1
,,,,,,,,Allard Feddes,1
,,,,,,,,Alian Kasabian,1
,,,,,,,,Kyoko Amimoto,1
,,,,,,,,Collette Eccleston,1
,,,,,,,,Doortje Saya,1
,,,,,,,,Soren Edvinsson,1
,,,,,,,,Jesse Walker,1
,,,,,,,,David Leeson,1
,,,,,,,,Ingo Schafer,1
,,,,,,,,Kathy Edin,1
,,,,,,,,Daniel Newlon,1
,,,,,,,,Julian Scheffer,1
,,,,,,,,Marshall Lichtman,1
,,,,,,,,Desislava Byanova,1
,,,,,,,,Katharina Nuckel,1
,,,,,,,,Benjamin Fenkell,1
,,,,,,,,Sarah Ruiz,1
,,,,,,,,Vera Hoorens,1
,,,,,,,,Lori Beaman,1
,,,,,,,,Stephen Kemp,1
,,,,,,,,Russell Fazio,1
,,,,,,,,Kurt Jacobsen,1
,,,,,,,,Elizabeth,1
,,,,,,,,Gil Rabinovici,1
,,,,,,,,Ken DeMarree,1
,,,,,,,,Nicholas. W. Gross,1
,,,,,,,,Jessica Begley,1
,,,,,,,,Stephen Redding,1
,,,,,,,,Christina Santoro,1
,,,,,,,,Roger Churchill,1
,,,,,,,,John Werthheimer,1
,,,,,,,,Ari Van Assche,1
,,,,,,,,Serge Galam,1
,,,,,,,,Katherine Allen,1
,,,,,,,,Corey Kamen,1
,,,,,,,,T. Worrall,1
,,,,,,,,Julius Raditya Secadiningrat,1
,,,,,,,,Micah Officer,1
,,,,,,,,Shivandhi Shelly Rudra,1
,,,,,,,,Tim Stoll,1
,,,,,,,,I-Ching Lee,1
,,,,,,,,Chuck Beitz,1
,,,,,,,,Paul Samuelson,1
,,,,,,,,Joe Egli,1
,,,,,,,,Kenneth Snowden,1
,,,,,,,,J. Christopher Muran,1
,,,,,,,,Joao Romao,1
,,,,,,,,Laura Lerebours,1
,,,,,,,,Rebecca Stoil,1
,,,,,,,,David Kolar,1
,,,,,,,,Heather McCauley,1
,,,,,,,,J. F. E. G.,1
,,,,,,,,Mark Kritzman,1
,,,,,,,,Karine Nyborg,1
,,,,,,,,Eustaquio Reis,1
,,,,,,,,Henry Kranzler,1
,,,,,,,,Francesco Caprioli,1
,,,,,,,,Nicole Kapelle,1
,,,,,,,,Robyn Girling,1
,,,,,,,,C. M. Klingner,1
,,,,,,,,Bernard Nijstad,1
,,,,,,,,Wencke Clausnitzer-Paschold,1
,,,,,,,,Andrea Chacon,1
,,,,,,,,David Kidd,1
,,,,,,,,Mary Simmering,1
,,,,,,,,Andrea Guariso,1
,,,,,,,,Tibor Besedes,1
,,,,,,,,Elena Martinez-Ruiz,1
,,,,,,,,Andreas Brekke Carlsson,1
,,,,,,,,Juan Inarejos,1
,,,,,,,,Warren Payne,1
,,,,,,,,Levente Kriston,1
,,,,,,,,Michelle Atsu,1
,,,,,,,,Richard Whitney,1
,,,,,,,,Lucio Baccharo,1
,,,,,,,,David Rodriguez,1
,,,,,,,,Julie Lassebie,1
,,,,,,,,Logan Spector,1
,,,,,,,,Dustin Frye,1
,,,,,,,,Tricia Fanney,1
,,,,,,,,Caitlin Verboon,1
,,,,,,,,Leaf Van Boven,1
,,,,,,,,Jeffrey W. Sherman,1
,,,,,,,,Elizabeth Wingrove,1
,,,,,,,,Francesca Vaghi,1
,,,,,,,,Chris Hurl,1
,,,,,,,,Xiaohua Zhao,1
,,,,,,,,Eva Neviere,1
,,,,,,,,Caitlin Schultz,1
,,,,,,,,Roxanne Smethers,1
,,,,,,,,Alain Kerhave,1
,,,,,,,,Shawn Glynn,1
,,,,,,,,Ilia Dichev,1
,,,,,,,,Anne Marione,1
,,,,,,,,Alexey Malakhov,1
,,,,,,,,Steven Read,1
,,,,,,,,Daniel Simoes,1
,,,,,,,,Few Zhuqin,1
,,,,,,,,Lindsay Tello,1
,,,,,,,,Maeva Schlienger,1
,,,,,,,,Fred Rist,1
,,,,,,,,Elana Levison,1
,,,,,,,,D.A.,1
,,,,,,,,Odilia Yim,1
,,,,,,,,Philip D. Parker,1
,,,,,,,,Fabienne Martin,1
,,,,,,,,Henrik Liljegren,1
,,,,,,,,Frank Halisch,1
,,,,,,,,Dara Johnson-Ayodele,1
,,,,,,,,Joe Wallace,1
,,,,,,,,Sarah Lee,1
,,,,,,,,Toru Yoshikawa,1
,,,,,,,,Yijun Liu,1
,,,,,,,,Anna Nemirovskaya,1
,,,,,,,,Sally Wyke,1
,,,,,,,,Francesco Paoli,1
,,,,,,,,Chris Hieb,1
,,,,,,,,Karl Zimmerer,1
,,,,,,,,Jeff McCrae,1
,,,,,,,,Elaine Fung,1
,,,,,,,,Paola Conconi,1
,,,,,,,,Erwin Kinsey,1
,,,,,,,,Rebecca Li,1
,,,,,,,,Nikki Killman,1
,,,,,,,,Jennifer E. Merrill,1
,,,,,,,,Julie Cook,1
,,,,,,,,Kristina Wald,1
,,,,,,,,Paulo Paixao Silva,1
,,,,,,,,Tony Moore,1
,,,,,,,,Erika Lourenco,1
,,,,,,,,Catherine Walsh,1
,,,,,,,,Matt Prorok,1
,,,,,,,,Nicholas Bowman,1
,,,,,,,,Emily Barrett,1
,,,,,,,,Angsana Techatassanasoontorn,1
,,,,,,,,Autumn Chen,1
,,,,,,,,Shoumin Xi,1
,,,,,,,,Tobias Lerner,1
,,,,,,,,James Lincoln,1
,,,,,,,,Russ Wermers,1
,,,,,,,,Marja-Kristiina Lerkkanen,1
,,,,,,,,Bogdan Wojciszke,1
,,,,,,,,Thomas Muller,1
,,,,,,,,Moshe Buckinsky,1
,,,,,,,,James Rhatigan,1
,,,,,,,,Katja Rutar,1
,,,,,,,,Erica Richmond,1
,,,,,,,,Jacqueline Williamson,1
,,,,,,,,Mitja Back,1
,,,,,,,,Vinod Singhal,1
,,,,,,,,Adam Barin,1
,,,,,,,,Sam Hollander,1
,,,,,,,,Jesse D. Peterson,1
,,,,,,,,L. Bassford,1
,,,,,,,,Kristine Baeroe,1
,,,,,,,,Tran Le,1
,,,,,,,,Yang Zhan'ao,1
,,,,,,,,David Lassner,1
,,,,,,,,Hajjara Azam,1
,,,,,,,,Larry Horn,1
,,,,,,,,Priscilla Amofa,1
,,,,,,,,Don Kuiken,1
,,,,,,,,Erika van Husen,1
,,,,,,,,Marisol Lamprea,1
,,,,,,,,Stefan Hunt,1
,,,,,,,,Felix Ward,1
,,,,,,,,Trevon Logan,1
,,,,,,,,Oliver C. Schultheiss,1
,,,,,,,,Dan Markovits,1
,,,,,,,,Edward Lee,1
,,,,,,,,Julien Guegan,1
,,,,,,,,Manyu Li,1
,,,,,,,,Verena Komander,1
,,,,,,,,Jonathan Preszler,1
,,,,,,,,Youssouf Kiendrebeogo,1
,,,,,,,,Jaimee Virgo,1
,,,,,,,,Evan Sandlin,1
,,,,,,,,Fabio Moneta,1
,,,,,,,,STANA NENADIC,1
,,,,,,,,Megan Hamasaki,1
,,,,,,,,Marek Bratun,1
,,,,,,,,Eiichi Tomiura,1
,,,,,,,,Geri R. Donenberg,1
,,,,,,,,Robyn Gibson,1
,,,,,,,,Taysir Bader,1
,,,,,,,,Fortepan,1
,,,,,,,,Belen Lopez-Perez,1
,,,,,,,,Graham Pawelec,1
,,,,,,,,Paulo Fracalanza,1
,,,,,,,,Mina Kazemi,1
,,,,,,,,Hongjin Zhu,1
,,,,,,,,Albert Liau,1
,,,,,,,,Ellerie Weber,1
,,,,,,,,Gianandrea Nodari,1
,,,,,,,,Phe Affleck,1
,,,,,,,,Alexandra Cropper,1
,,,,,,,,Hilary Plum,1
,,,,,,,,Jasmine Tan,1
,,,,,,,,Auke Tellegen,1
,,,,,,,,Grzegorz Golembski,1
,,,,,,,,Michelle Anderson,1
,,,,,,,,Wiebke Doden,1
,,,,,,,,Jonathan Bartlett,1
,,,,,,,,Emily Willroth,1
,,,,,,,,Wilfred McSherry,1
,,,,,,,,Dawn Nell,1
,,,,,,,,Daniel Gombau,1
,,,,,,,,Brigid Grund,1
,,,,,,,,Daniel Ziblatt,1
,,,,,,,,Rhoda Perozzi,1
,,,,,,,,Patricia J. Buster,1
,,,,,,,,Stephanie Lonsinger,1
,,,,,,,,Boris Deschanel,1
,,,,,,,,Ronald E. Smith,1
,,,,,,,,Sakari Mykra,1
,,,,,,,,Fay Guarraci,1
,,,,,,,,Hector Garcia-Montero,1
,,,,,,,,Dan Hopkins,1
,,,,,,,,Mandy Hutter,1
,,,,,,,,Annie Franco,1
,,,,,,,,Nikolaj Harmon,1
,,,,,,,,Paulo Gerchunoff,1
,,,,,,,,Bruce Tiebout,1
,,,,,,,,W. Witte,1
,,,,,,,,Hitesh Doshi,1
,,,,,,,,Viktoria Vianeva,1
,,,,,,,,Nelson Sanjad,1
,,,,,,,,Maria del Mar Rubio,1
,,,,,,,,Shingo Kakino,1
,,,,,,,,Florian Kutzner,1
,,,,,,,,Nicole McCallum,1
,,,,,,,,Jan De Loecker,1
,,,,,,,,Monica Pachon,1
,,,,,,,,Toby Parcel,1
,,,,,,,,Emma Imalwa,1
,,,,,,,,Alain Cohn,1
,,,,,,,,Danielle Teeuwen,1
,,,,,,,,Joost Veenstra,1
,,,,,,,,Erin Buckels,1
,,,,,,,,Tess Gemberling,1
,,,,,,,,Saul Albert,1
,,,,,,,,Inmaculada Fajardo,1
,,,,,,,,Giovanni ten Brink,1
,,,,,,,,Daniel Czaja,1
,,,,,,,,Clara Mildenberger,1
,,,,,,,,Juan Contreras,1
,,,,,,,,Yunshi Peng,1
,,,,,,,,Bonnie Spring-for,1
,,,,,,,,Matthew McGue,1
,,,,,,,,Nicole Stephens,1
,,,,,,,,Susanne Seymour,1
,,,,,,,,Christina-Elise Klaestrup,1
,,,,,,,,Catherine Scitovsky Eliaser,1
,,,,,,,,Fiamma Chessa,1
,,,,,,,,Nick Valentino,1
,,,,,,,,Ms. Yong,1
,,,,,,,,Barb Brown,1
,,,,,,,,Cara Booker,1
,,,,,,,,Margaret Levenstein,1
,,,,,,,,Heather Roxborough,1
,,,,,,,,Frederick Wolfe,1
,,,,,,,,Jonathan Hartlyn,1
,,,,,,,,Mark Yudin,1
,,,,,,,,Donna Sarppo,1
,,,,,,,,Michael Windle,1
,,,,,,,,David Reedy,1
,,,,,,,,James Collier,1
,,,,,,,,Massimiliano Barbi,1
,,,,,,,,Michael Falk,1
,,,,,,,,Melissa Hughes,1
,,,,,,,,Carlos Navascues Sierra,1
,,,,,,,,Maria Ines Moraes,1
,,,,,,,,Jennifer Ruger,1
,,,,,,,,Brian Feinstein,1
,,,,,,,,Mustafa Dish,1
,,,,,,,,Kathleen Eisenhardt,1
,,,,,,,,Pilar Talon-Ballestero,1
,,,,,,,,Leonie J. Rennie,1
,,,,,,,,Kathy Rupar,1
,,,,,,,,Ed Kosack,1
,,,,,,,,Andrew Littlefield,1
,,,,,,,,Frederike Gehlhar,1
,,,,,,,,Sergei Izmalkov,1
,,,,,,,,Hayley Rahl,1
,,,,,,,,Sidney G. Winter,1
,,,,,,,,Gilbert Jack,1
,,,,,,,,Kenneth Benoit,1
,,,,,,,,Tanya Monger,1
,,,,,,,,Lauren Koltes,1
,,,,,,,,Kimberley Widger,1
,,,,,,,,Sally Worrell,1
,,,,,,,,Mark Mills,1
,,,,,,,,Kendra Sanguinetti,1
,,,,,,,,Joanne R. Beames,1
,,,,,,,,Bill Glod,1
,,,,,,,,Ignacio Palacios-Huerta,1
,,,,,,,,Juan Lupianez,1
,,,,,,,,Elodia Villasenor,1
,,,,,,,,Diana Georgieva,1
,,,,,,,,Wanner Medeiros,1
,,,,,,,,Ellen Valle,1
,,,,,,,,Kjersti Aas,1
,,,,,,,,Emma Rossnagel,1
,,,,,,,,Robert Wickham,1
,,,,,,,,Ruth K. Chao,1
,,,,,,,,Tom Williamson,1
,,,,,,,,Charlotte Dunkeld,1
,,,,,,,,Masayuki Tanimoto,1
,,,,,,,,Jason J. Dickinson,1
,,,,,,,,Jaqaru,1
,,,,,,,,Hayley,1
,,,,,,,,Pranav Gupta,1
,,,,,,,,Rodolfo-Cerron-Palomino,1
,,,,,,,,Peter Shanley,1
,,,,,,,,Takeo Kikkawa,1
,,,,,,,,M. Barstead,1
,,,,,,,,Sarah Trevaglia,1
,,,,,,,,John Kingston,1
,,,,,,,,Bernstein,1
,,,,,,,,Nathan Marcus,1
,,,,,,,,Nestor Ramirez,1
,,,,,,,,Kevin Riggs,1
,,,,,,,,Catherine Philpot,1
,,,,,,,,Michele Frank,1
,,,,,,,,F. J. Goerlich,1
,,,,,,,,Nik Heynen,1
,,,,,,,,Craparo,1
,,,,,,,,Gad Rausings,1
,,,,,,,,Derek Epp,1
,,,,,,,,Byoung Kang,1
,,,,,,,,Juan Carlos Godoy,1
,,,,,,,,Khin Maung Aye,1
,,,,,,,,Jef Boeckx,1
,,,,,,,,Megan McCarthy,1
,,,,,,,,Benoit Pelopidas,1
,,,,,,,,Sue Knoblauch,1
,,,,,,,,Sarah Shand,1
,,,,,,,,Joana Arantes,1
,,,,,,,,Yara Koderdash,1
,,,,,,,,Martha Naylor,1
,,,,,,,,Yoshikuni Ito,1
,,,,,,,,Yassine Lefouili,1
,,,,,,,,Vibha Joshi Parkin,1
,,,,,,,,Francesco Natale,1
,,,,,,,,Graham Overton,1
,,,,,,,,Tanner Price,1
,,,,,,,,Spencer Sheridan,1
,,,,,,,,Stefan Baumgartner,1
,,,,,,,,Mike Vanderheijden,1
,,,,,,,,David Turkington,1
,,,,,,,,Michelle Voss,1
,,,,,,,,Anh Han,1
,,,,,,,,Jim Green,1
,,,,,,,,Don Walker,1
,,,,,,,,Edward D. Barker,1
,,,,,,,,Christina Tortora,1
,,,,,,,,Natale Thomas,1
,,,,,,,,Jonathan Feldman,1
,,,,,,,,Lee Branstetter,1
,,,,,,,,Jolle W. Jolles,1
,,,,,,,,Xiaozhou Hu,1
,,,,,,,,Paul. Muldoon,1
,,,,,,,,Robert H. Scott,1
,,,,,,,,Ana Marusic,1
,,,,,,,,Giovanni Mastrobuoni,1
,,,,,,,,April Campbell Pengart,1
,,,,,,,,Devon Egan,1
,,,,,,,,Clint Peinhardt,1
,,,,,,,,Christoph Blasi,1
,,,,,,,,Nataliya Rubinchik,1
,,,,,,,,Jeff Sugarman,1
,,,,,,,,Ellen Moore,1
,,,,,,,,Michael Becker,1
,,,,,,,,Ryan Kennedy,1
,,,,,,,,Nicolas Barbaroux,1
,,,,,,,,Demetris Comodromos,1
,,,,,,,,Cadw.,1
,,,,,,,,Melinda Harper,1
,,,,,,,,Kye Askins,1
,,,,,,,,Warren Whatley,1
,,,,,,,,Jane Hamlett,1
,,,,,,,,Archie K. Davis Fellowship,1
,,,,,,,,Philip Hoffmann,1
,,,,,,,,Nancy Bui,1
,,,,,,,,Keith McGregor,1
,,,,,,,,Noah Mason,1
,,,,,,,,Jae-un Kim,1
,,,,,,,,Mayuri Chaturvedi,1
,,,,,,,,Paz Nunez Regueiro,1
,,,,,,,,Avery Kolers,1
,,,,,,,,Alessandro Gavazza,1
,,,,,,,,Josie Serrata,1
,,,,,,,,David J. Lick,1
,,,,,,,,Dianeth Rodriguez,1
,,,,,,,,t Hart,1
,,,,,,,,Michal Miedan,1
,,,,,,,,Maggie Mae Mell,1
,,,,,,,,Elizabeth Waterhouse,1
,,,,,,,,Dries Dauwe,1
,,,,,,,,Anna Franzen,1
,,,,,,,,Kristof Vaes,1
,,,,,,,,Taylor Denouden,1
,,,,,,,,Cherie Moody,1
,,,,,,,,Harald Bruhn,1
,,,,,,,,Ben White,1
,,,,,,,,Liang Zhi,1
,,,,,,,,Tania Treibich,1
,,,,,,,,Alex Whalley,1
,,,,,,,,Soonhee Roh,1
,,,,,,,,Romuald Normand,1
,,,,,,,,Jenny Edwards,1
,,,,,,,,R. Banse,1
,,,,,,,,Mikko Moilanen,1
,,,,,,,,Maria Nunez del Prado,1
,,,,,,,,Kan Shi,1
,,,,,,,,Ulrich Geppert,1
,,,,,,,,Isabel Metzler,1
,,,,,,,,Robert J. Gordon,1
,,,,,,,,Philine Harris,1
,,,,,,,,Michael Van Wie,1
,,,,,,,,Gail M. Houck,1
,,,,,,,,Gustafsson Senden,1
,,,,,,,,Sergio Espuelas Barroso,1
,,,,,,,,Meiji Seika,1
,,,,,,,,Madeleine Lindstrom,1
,,,,,,,,Justyna Kusiak,1
,,,,,,,,Kathrin Kaltenbrunner,1
,,,,,,,,D. V.,1
,,,,,,,,Dan Dhaliwal,1
,,,,,,,,Diana Whalen,1
,,,,,,,,Lonzozou Kpanake,1
,,,,,,,,Qin Zhang,1
,,,,,,,,Errol Lord,1
,,,,,,,,Danny Salevitz,1
,,,,,,,,Tobias Gschwendner-Lukas,1
,,,,,,,,Reza Wattimena,1
,,,,,,,,Van Dessel,1
,,,,,,,,Shari Blumenstock,1
,,,,,,,,Margarita V. Monakhova,1
,,,,,,,,Jonathan Wand,1
,,,,,,,,Donald Roy,1
,,,,,,,,Marina Fuertes,1
,,,,,,,,Yenn-Ru Chen,1
,,,,,,,,Nelly Vilchis,1
,,,,,,,,Birgit Meyer,1
,,,,,,,,Alexander Tatum,1
,,,,,,,,Eddie Nik-Khah,1
,,,,,,,,David Mellor,1
,,,,,,,,Max Donahue,1
,,,,,,,,Lytton Scott,1
,,,,,,,,Anna Kurella,1
,,,,,,,,Todd Mertz,1
,,,,,,,,Javier Reyes,1
,,,,,,,,Ziga Virc,1
,,,,,,,,Danielle,1
,,,,,,,,Hyunhee Park,1
,,,,,,,,Faiza Ahmed,1
,,,,,,,,Sean Jones,1
,,,,,,,,Gloria Main,1
,,,,,,,,Leandre R. Fabrigar,1
,,,,,,,,Sheng Huang,1
,,,,,,,,Kei Hirano,1
,,,,,,,,Anne Pedersen,1
,,,,,,,,Allison Metts,1
,,,,,,,,Cody Nehiba,1
,,,,,,,,Meagan Morse,1
,,,,,,,,David B. FitzGerald,1
,,,,,,,,Dr Kivimaki,1
,,,,,,,,Alexis Moreno,1
,,,,,,,,Alvin Chan,1
,,,,,,,,Flavia Barsotti,1
,,,,,,,,Daryl R. Van Tongeren,1
,,,,,,,,Paul Moore,1
,,,,,,,,Emma Seymour,1
,,,,,,,,Michael Harris Bond,1
,,,,,,,,Ahmed Khalid,1
,,,,,,,,Julie Cook Lucas,1
