index,id,txt,GRNB,FUND,IND,UNI,COR,MISC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"591,5536495,""This work was supported by Grant-in-Aid for Scientific Research on Innovative Areas, """"Face perception and recognition"""" from MEXT KAKENHI 23119731 and 26590183 to JK."",26590183";23119731,MEXT KAKENHI,,,,Grant-in-Aid for Scientific Research on Innovative Areas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
592,5536495,We thank Shuto Chi-na for collecting data.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593,5545493,S.T. was supported by a doctoral fellowship from the Technical University of Denmark.,,,,Technical University of Denmark,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"594,5545493,""We thank the Danish National Research Foundation for support to the Center for Macroecology, Evolution and Climate, and the European Union 7th Framework Programme (FP7 2007-2013) under grant agreement nos. 264933 (Euro-Basin project), and the Villum Foundation for support of the Centre for Ocean Life."",264933,""Center for Macroecology, Evolution and Climate";European Union 7th Framework Programme (FP7 2007-2013);Villum Foundation;Centre for Ocean Life;"Danish National Research Foundation"",,,,Euro-Basin project";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"595,5545493,""We thank Anna Neuheimer for valuable discussions and Steve Coombs, Anders Nissling, Pierre Pepin, and the reviewers for comments on earlier versions of the manuscript."",,,Anna Neuheimer";Steve Coombs;Anders Nissling;Pierre Pepin,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
596,5556841,Oregon Sea Grant (NA14OAR4170064 to K.R.S. and R.D.B.); the National Science Foundation (OCE-1155084 to K.R.S.); UO's Office of Research (to K.R.S.).,OCE-1155084;NA14OAR4170064,National Science Foundation;Oregon Sea Grant;UO's Office of Research,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
597,5556841,Northwest Fisheries Science Center; National Oceanic and Atmospheric Administration; the Bonneville Power Administration.,,Bonneville Power Administration;Northwest Fisheries Science Center;National Oceanic and Atmospheric Administration,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598,5582040,This research was supported by a research grant from the Swiss National Science Foundation # PZ00P1_131866.,PZ00P1_131866,Swiss National Science Foundation,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"599,5582040,""We wish to thank Claudia Roebers, Sarah Loher, Marianne Rothlisberger, and Wenke Mohring for their helpful comments, and Leunora Fejza and Ines Holzmann for help with data collection."",,,Claudia Roebers";Sarah Loher;Marianne Rothlisberger;Wenke Mohring;Leunora Fejza;Ines Holzmann,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600,5601788,This study is supported by the Education Department of Henan Province: project No. 15B360004 and 142300410386.,15B360004;142300410386,Education Department of Henan Province,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"601,5609258,""This research is supported by the Indiana Clinical and Translational Sciences Institute Young Investigator Award funded in part by National Institutes of Health grant # UL1TR001108 (A. Shekhar, PI), 9/26/2013-4/30/2018, and the Indiana University Strategic Research Initiative (SRI)."",9/26/2013-4/30/2018";UL1TR001108,Indiana Clinical and Translational Sciences Institute Young Investigator Award;National Institutes of Health,A. Shekhar,Indiana University Strategic Research Initiative (SRI),,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
602,5609258,Its contents are solely the responsibility of the authors and do not necessarily represent the official view of the Indiana CTSI or NIH.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
603,5648204,This work has been funded by the Swedish Research Council through grant no. 2015-05639 'Visual SLAM based on Planar Homographies'.,2015-05639,Swedish Research Council,,,,Visual SLAM based on Planar Homographies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604,5654045,The authors appreciate the financial support from the National Institute on Drug Abuse (grant numbers DA13231 and DA19935).,DA13231;DA19935,National Institute on Drug Abuse,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"605,5681158,""This paper is a product of the New Canadian Children and Youth Study (Principal Investigators: Morton Beiser, Robert Armstrong, David Este, Anne George, Linda Ogilvie, Jacqueline Oxman-Martinez, Joanna Anneke Rummens, Lori Wilkinson), a national longitudinal survey of the health and well-being of more than 4000 newcomer immigrant and refugee children living in Montreal, Toronto, Winnipeg, Edmonton, Calgary and Vancouver."",,,Morton Beiser";Robert Armstrong;David Este;Anne George;Linda Ogilvie;Jacqueline Oxman-Martinez;Joanna Anneke Rummens;Lori Wilkinson,,,New Canadian Children and Youth Study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"606,5681158,""The NCCYS is a joint collaboration between university researchers affiliated with Canada's four Metropolis Centres of Excellence for research on immigration and settlement, and community organizations representing Afghani, Hong Kong Chinese, Mainland Chinese, Latin American (El Salvadorean, Guatemalan, Colombian), Ethiopian, Haitian, Iranian, Kurdish, Lebanese, Filipino, Punjabi, Serbian, Somali, Jamaican, Sri Lankan Tamil, and Vietnamese newcomers in Canada."",,Metropolis Centres of Excellence,,,,NCCYS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"607,5681158,""Major funding for the project has been provided by the Canadian Institutes of Health Research (CIHR grants FRN-43927 and FRG-80146), Canadian Heritage, Citizenship and Immigration Canada (CIC), Health Canada, Justice Canada, Alberta Heritage Foundation for Medical Research, Alberta Learning, B.C. Ministry of Social Development and Economic Security, B.C. Ministry of Multiculturalism and Immigration, Conseil Quebecois de la Recherche Sociale, Manitoba Labour and Immigration, the Montreal, Prairies, and Ontario Metropolis Centres of Excellence for research on immigration and settlement, and the Ontario Mental Health Foundation."",FRG-80146";"FRN-43927,""Metropolis Centres of Excellence";Ontario Mental Health Foundation;Canadian Heritage, Citizenship and Immigration Canada (CIC);Health Canada;Justice Canada;Alberta Heritage Foundation for Medical Research;Alberta Learning;B.C. Ministry of Social Development and Economic Security;B.C. Ministry of Multiculturalism and Immigration;Conseil Quebecois de la Recherche Sociale;Manitoba Labour and Immigration, the Montreal, Prairies;Ontario Metropolis Centres of Excellence;"Ontario Mental Health Foundation."",,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"608,5711394,""This paper is based upon research supported by the National Science Foundation (NSF) under Grant No. 0810927. Any opinions, findings, and conclusions expressed in this material are those of the authors and do not necessarily reflect the views of NSF."",0810927,National Science Foundation (NSF),,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"609,5723791,""This work was supported by the Fonds Quebecois de la recherche sur la nature et les technologies, the Canadian Institute of Health Research (MOP-97820), and the Natural Science and Engineering Research Council of Canada."",MOP-97820,Canadian Institute of Health Research";Fonds Quebecois de la recherche sur la nature et les technologies;Natural Science and Engineering Research Council of Canada,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
610,5723791,The work of H. Rivaz was supported by a Natural Science and Engineering Research Council of Canada postdoctoral fellowship.,,Natural Science and Engineering Research Council of Canada,H. Rivaz,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611,5723791,Asterisk indicates corresponding author.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"612,5730877,""The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by Research Center for Humanities and Social Sciences at National Cheng Kung University (C.-J. C., grant FD101037)."",FD101037,,,Research Center for Humanities and Social Sciences at National Cheng Kung University,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
613,5752395,We thank Frank Bauer for valuable comments about Buser's inequality on graphs in [5] and [20].,,,Frank Bauer,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614,5752395,We are also grateful to the anonymous referees for many useful suggestions for improving this article.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"615,5752395,""This work was supported by the EPSRC grant EP/K016687/1 'Topology, Geometry and Laplacians of Simplicial Complexes'."",EP/K016687/1,EPSRC,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616,5769757,This work was supported by NIDA SBIR Grant #2R44DA026645.,2R44DA026645,NIDA SBIR Grant,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"617,5769757,""The funders had no part in designing the study, the collection of data and its analysis, or in the decision to complete or write this manuscript."",,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
618,5812282,This study is part of a M.Sc. thesis by D. Pinho at the University of Porto.,,,D. Pinho,University of Porto,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619,5812282,Financial support was provided by the European Regional Development Fund (ERDF) through the 'Programa Operacional Factores de Competitividade' (POFC-COMPETE) within the 'Quadro de Referencia Estrategico Nacional (QREN)' and the Portuguese Fundacao para a Ciencia e a Tecnologia (FCT) through the projects 'Efeitos do clima oceanico na macroecologia e resiliencia a perturbacoes dos povoamentos de kelps' - OCEANKELP (PTDC/MAR/109954/2009) and PEst-C/MAR/LA0015/2011 and a Ph.D. grant (SFRH/BD/84933/2012) to J. N. Franco.,PEst-C/MAR/LA0015/2011;SFRH/BD/84933/2012;PTDC/MAR/109954/2009,Portuguese Fundacao para a Ciencia e a Tecnologia (FCT);Programa Operacional Factores de Competitividade;European Regional Development Fund (ERDF),N. Franco,,,Programa Operacional Factores de Competitividade;POFC-COMPETE;Quadro de Referencia Estrategico Nacional (QREN);Efeitos do clima oceanico na macroecologia e resiliencia a perturbacoes dos povoamentos de kelps;OCEANKELP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"620,5812282,""F. Tuya was supported by the MINECO 'Ramon y Cajal' program, T. Wernberg by the Australian Research Council and I. Bertocci by FCT within the Programa Ciencia 2008 - Fundo Social Europeu."",,Programa Ciencia";Fundo Social Europeu;MINECO;Programa Ciencia 2008 - Fundo Social Europeu,F. Tuya;T. Wernberg;I. Bertocci,,,Ramon y Cajal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"621,5813308,""This work was supported by the NSFC (Grant No. 61502247, 11501302, 6150224361571238), China Postdoctoral Science Foundation (Grant No. 2016M600434, 2016M591840, 2017M621795), Natural Science Foundation of Jiangsu Province (Grant No. BK20150856), and Postdoctoral Science Foundation of Jiangsu Province(Grant No. 1601128B, 1501054B, 1701167B), Opening Project of Collaborative Innovation Center for Economics crime investigation and prevention technology(Grant No. JXJZXTCX-015), and Open Project Program of the State Key Laboratory of Mathematical Engineering and Advanced Computing(Grant No. 2017A10), and Nanjing University of Posts and Telecommunications Program (Grant No. NY218026)."",1501054B";JXJZXTCX-015;2017A10;BK20150856;11501302;2016M591840;61502247;2016M600434;NY218026;2017M621795;1701167B;1601128B;6150224361571238,Postdoctoral Science Foundation of Jiangsu Province;Opening Project of Collaborative Innovation Center for Economics crime investigation and prevention technology;Open Project Program of the State Key Laboratory of Mathematical Engineering and Advanced Computing;Natural Science Foundation of Jiangsu Province;NSFC;China Postdoctoral Science Foundation,,Nanjing University of Posts and Telecommunications Program,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
622,5842854,This work was supported by the National Natural Science Foundation of China under No. 51576013 and the Fundamental Research Funds of the Central Universities under No. 2015RC012.,2015RC012;51576013,Fundamental Research Funds of the Central Universities;National Natural Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
623,5844285,This work was supported by the Universiti Kebangsaan Malaysia (UKM) under Grant AP-2017-007/1.,AP-2017-007/1,,,Universiti Kebangsaan Malaysia (UKM),,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624,5875726,This work was supported by National Natural Science Foundation of China (Grant No. 61421001).,61421001,National Natural Science Foundation of China,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"625,5891048,""This work was supported by grants from the National Natural Science Foundation of China, China (31572650, 31471181)."",31471181";"31572650,""National Natural Science Foundation of China, China"",,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"626,5900579,""This work was supported by the National Key Research and Development Program (2016YFA0601204) and the National Natural Science Foundation of China (41576053), with additional support from the Earmarked Foundation of the State Key Laboratory of Organic Geochemistry (SKLOGA201603B)."",41576053";2016YFA0601204;SKLOGA201603B,National Natural Science Foundation of China;National Key Research and Development Program;Earmarked Foundation of the State Key Laboratory of Organic Geochemistry,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627,5900579,This is contribution No. IS-2580 from GIGCAS.,,,,GIGCAS,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"628,5900579,""Thoughtful comments of Professor Phillip A. Meyers, an anonymous reviewer, and Editor S. Bradley Moran are greatly appreciated."",,,Phillip A. Meyers";S. Bradley Moran,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629,5900579,We are also grateful to the captain and crew of the R/V Yanping II for their sampling assistance on board.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630,5900579,Data available in Table S1.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
631,5900987,Funding for this study was provided by the Canadian Institutes of Health Research (PHE-101539) and the Mental Health Commission of Canada.,PHE-101539,Canadian Institutes of Health Research;Mental Health Commission of Canada,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"632,5942477,""This article draws upon findings from two research projects 'Higher Education, Citizenship, and Academic Values Across Cultures: Experience from Hong Kong and Beijing' (Ref. No: R9301_HSSPFS-HKIEd-802-HSS-13), and 'Rethinking Higher Education and Citizenship in a Global Age: Students' Experience in Hong Kong' (Ref.: GRF 844311)";" both are generously funded by the Research Grants Council, University Grants Committee of Hong Kong."",R9301_HSSPFS-HKIEd-802-HSS-13";GRF 844311,Research Grants Council;"University Grants Committee of Hong Kong,,,,""Higher Education, Citizenship, and Academic Values Across Cultures: Experience from Hong Kong and Beijing";"Rethinking Higher Education and Citizenship in a Global Age: Students' Experience in Hong Kong""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
633,5942477,The author would like to thank the two anonymous reviewers for their helpful comments and advice on refining earlier drafts of this article.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"634,6000249,""The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Data collection and manuscript preparation efforts were supported by National Institute on Alcohol Abuse and Alcoholism Grants AA0013328 to Tonda L. Hughes and AA019974 to Amelia E. Talley."",AA0013328";AA019974,National Institute on Alcohol Abuse and Alcoholism,Tonda L. Hughes;Amelia E. Talley,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"635,6000249,""In addition, manuscript preparation was supported by a supplement to AA0013328, awarded to Frances Aranda, and an award from the Office of Research on Women's Health (ORWH) and the National Institute of Child Health and Human Development (K12HD055892) to Bethany Everett."",AA0013328";K12HD055892,National Institute of Child Health and Human Development;Office of Research on Women's Health (ORWH) ,Frances Aranda;Bethany Everett,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
636,6001829,Support for this study was provided by National Institute on Aging grants AG05552 and AG020153 awarded to Thomas M. Hess.,AG020153;AG05552,National Institute on Aging,Thomas M. Hess,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
637,6004473,This research was supported in part by the Department of Defense (DoD) through the National Defense Science & Engineering Graduate Fellowship (NDSEG) Program and by the Eunice Kennedy Shriver National Institute of Child Health & Human Development award number R01HD045713 to LKS.,R01HD045713,Eunice Kennedy Shriver National Institute of Child Health & Human Development;Department of Defense (DoD);National Defense Science & Engineering Graduate Fellowship (NDSEG),,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
638,6004473,The content is solely the responsibility of the authors and does not necessarily represent the official views of the Eunice Kennedy Shriver Institute of Child Health & Human Development or the National Institutes of Health.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"639,6004473,""Neither of these sources of funding played any role in these specific study designs, data collection, analysis, or the writing of this article."",,,,,,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
640,6004473,We thank the parents and children who participated.,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"641,6014136,""Auhors would like to thank The Institute of Research Management and Innovation (IRMI), Universiti Teknologi MARA and The Ministry of Higher Education of Malaysia for funding the research works through Fundamental Research Grant Scheme (FRGS): 600-IRMI/FRGS/3 (44/2016)."",600-IRMI/FRGS/3 (44/2016),Ministry of Higher Education of Malaysia,,The Institute of Research Management and Innovation (IRMI)";Universiti Teknologi MARA,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
