MISC,freq,UNI,freq.1,COR,freq.2,FUND,freq.3,IND,freq.4
,,,,,,NSW Clinical Excellence Commission,1.0,Anton Havnes,2
,,,,,,Charles K. Birdsall Fellowship,1.0,Mollie Monaghan,2
,,,,,,UTAS GAMBLING RESEARCH GRANT PROGRAM,1.0,ChangjunWang,2
,,,,,,Polish General Directorate for National Roads and Motorways,1.0,Nina Grishina,2
,,,,,,Centre for European Politics (CEP),1.0,Jennifer Muz,2
,,,,,,UDAPOKL,1.0,Kavada,2
,,,,,,National Innovation Center for Assessment of Basic Education Quality in China,1.0,Wendy Berry Mendes,2
,,,,,,JPJ,1.0,James Wilkinson,2
,,,,,,Instituto de Estudios Ambientales y Rercursos natuales,1.0,Mutamid Amin,2
,,,,,,ESRC/NIHR Grant,1.0,Christopher B. Forrest,2
,,,,,,"Federal Office of Sport (FOSPO) Magglingen, Switzerland",1.0,Heiner Roetz,2
,,,,,,Australian Research Council Linkage International,1.0,Wave 2,2
,,,,,,Fondazione Ethoikos,1.0,Charles Chabuka,2
,,,,,,Australia's Bushfire and Natural Hazards Cooperative Research Centre,1.0,Christoph Kohl,2
,,,,,,Una iniciativa de investigacion,1.0,Louise Karttunen,2
,,,,,,Fonds de recherche du Quebec-Societe et culture-FRQSC postdoctoral fellowship,1.0,Gina Ahn,2
,,,,,,Laboratoire d'analyse du developpement et de l'insertion professionnels en enseignement,1.0,Sebastien Boreux,2
,,,,,,"Youth Fund of Humanities and Social Science Research Foundation, Ministry of Education, China",1.0,Maia Szulik,2
,,,,,,Norwegian Centre for Research Data,1.0,Jacob Cheadle,2
,,,,,,Bolsa Estagio de Pesquisa no Exterior (BEPE) program of FAPESP,1.0,Calderin-Ojeda,2
,,,,,,NIMH/NIH R25 MH071286,1.0,Ghyslain Bolduc,2
,,,,,,FCT - Fundacao Portuguesa de Ciencia e Tecnologia,1.0,Mary Morgan,2
,,,,,,Art Works Research Grant,1.0,T. N. Srinivasan,2
,,,,,,Cooperation Program / Theme8 / Socio-economic Sciences and Humanities (SSH),1.0,David McClendon,2
,,,,,,Ontario government,1.0,Hava Gordon,2
,,,,,,Departmental Supportive Fund,1.0,Pak-hang Wong,2
,,,,,,Centro de Investigaciones en Geografia Ambiental,1.0,Andrew Penner,2
,,,,,,Cottrell Scholar Award,1.0,Rich McLean,2
,,,,,,CRLAO,1.0,Jeffrey Ely,2
,,,,,,"Office of the Associate Director for Science, Division of Unintentional Injury Prevention",1.0,Philippe Pelletier,2
,,,,,,Finnish Foundation for General Practice,1.0,Bethany Boettner,2
,,,,,,Baden-Wurttemberg Foundation (Germany),1.0,Bronwyn Evans,2
,,,,,,Polish National Centre for Research and Development,1.0,Patrick Meyer,2
,,,,,,Humanities and Social Sciences Youth Foundation of Ministry of Education of China,1.0,Jiwei Qian,2
,,,,,,Capital Markets CRC Limited,1.0,Sandro Mezzadra,2
,,,,,,International Institute of Social History,1.0,Farid Zahnoun,2
,,,,,,Combat Stress,1.0,Diane Saunders,2
,,,,,,Program for Human Potential,1.0,Yakubu Adams,2
,,,,,,Office of the Children's Commissioner,1.0,Irving Salit,2
,,,,,,Ministry of Education of Humanities and Social Science Research Fund Plan,1.0,Gesine Stephan,2
,,,,,,Ministry of Economy and Finance (Spain),1.0,Lyndall Hasselman,2
,,,,,,Institute for Tourism Studies,1.0,Michele Belloni,2
,,,,,,Williams Syndrome Family Support Group,1.0,M. Peters,2
,,,,,,ERDF (European Union),1.0,Kensaku Kawamoto,2
,,,,,,"European Commission, Erasmus Mundus Action 1",1.0,Michael Kennedy,2
,,,,,,European Association of Social Psychology's Summer School,1.0,Bart Bakker,2
,,,,,,Grant-in-Aid for JSPS Research Fellow,1.0,Lauren Cloward,2
,,,,,,Chow Tai Fook Charity Foundation,1.0,Emily Impett,2
,,,,,,U.S. Department of Health and Human Services-Healthy Marriage Demonstration,1.0,Alain Durmus,2
,,,,,,"Bauhaus-Archiv and Museum fur Gestaltung, Berlin, Germany",1.0,Camilla Rankin,2
,,,,,,Pilot Projects Research Grant,1.0,Paul A. Pilkonis,2
,,,,,,SHARELIFE,1.0,Waldemar Nowakowski,2
,,,,,,Modernization of Western Balkan,1.0,Areli Ramphal,2
,,,,,,MOE Project of Key Research Institutes of Humanities and Social Science,1.0,Rebecca Reingold,2
,,,,,,Research Center for Beijing Transportation Development,1.0,Amanda Benjamin,2
,,,,,,The Australian Centre of Excellence in Male Reproductive Health,1.0,Melanie Heugues,2
,,,,,,MS Society of Canada,1.0,Andreja Siliunas,2
,,,,,,Arthur Cole Grant in Aid,1.0,fur Mathematik,2
,,,,,,Fulbright Senior Research Scholar,1.0,Walsh,2
,,,,,,Fondo de Fomento a la Investigacion (FOFOI)/IMSS,1.0,Jamia Phiri,2
,,,,,,Staunton Farm Foundation,1.0,Jakob Pacer,2
,,,,,,Hubei Provincial Technical Innovation Project,1.0,Chen Zhenghong,2
,,,,,,Zicklin Center for Business Ethics Research,1.0,Roxane MacInnis,2
,,,,,,Talent Development Council of ELTE,1.0,Daniel Bar-Tal,2
,,,,,,Youth Teacher Research Foundation,1.0,Georgios Tzanavaras,2
,,,,,,"European Union 7th Framework Programme European Health Care Outcomes, Performance and Efficiency (EuroHOPE)",1.0,Daphney Nkosi,2
,,,,,,National R+D+I,1.0,Thung-Hong Lin,2
,,,,,,Helse Sor-Ost,1.0,Alice Norton,2
,,,,,,A Foundation for the Author of National Excellent Doctoral Dissertation of PR China,1.0,Rafaella Fetta,2
,,,,,,UF Disability Resource Center,1.0,Ilya Morozov,2
,,,,,,Andalusian Government Excellence Research grant,1.0,Adriane Griffen,2
,,,,,,Imperial Biomedical Research Centre Facility,1.0,Takashi Ui,2
,,,,,,Families for Borderline Personality Disorder Research,1.0,Neil Roberts,2
,,,,,,"Scientific and Technological Research Council of Turkey, Science Fellowships and Grant Programmes Department (TUBITAK BIDEB)",1.0,Cadmus-Bertram,2
,,,,,,Municipal Health Department,1.0,Ron Oaxaca,2
,,,,,,Dept of Anthropology & Archaeology,1.0,Brent Mittelstadt,2
,,,,,,Swedish Asthma and Allergy Association's Research Fund,1.0,Melinda Waters,2
,,,,,,NZ,1.0,Montse Imbert,2
,,,,,,Agriculture Victoria Services,1.0,Cindy Cain,2
,,,,,,Western Economics Association,1.0,Veronique Simonnet,2
,,,,,,Karsh Summer Research Grant,1.0,Costis Skiadas,2
,,,,,,Swedish Foundation for Strategic Environmental Research,1.0,David Ridley,2
,,,,,,Key Program of the Ministry of Education,1.0,Raghavan Srinivasan,2
,,,,,,"Ontario Human Capital Research and Innovation Fund, Canada",1.0,Steije Hofhuis,2
,,,,,,Education Department of Guangdong Privince,1.0,Marie Hojnacki,2
,,,,,,Spanish Ministry of Science and Innovation (CIBERSAM),1.0,Jacob Deem,2
,,,,,,Ford Foundation Graduate Student Research Fellowships,1.0,Angie Chung,2
,,,,,,Lombardy authorities,1.0,Jean-Philippe Laurenceau,2
,,,,,,Center for Research on Plurality in the Mekong Region (cepr),1.0,David Garland,2
,,,,,,Develop Patient-Healthcare Professional Relationships,1.0,Laurie Chassin,2
,,,,,,Center for Excellence on Generalization Research (GRIP.TT,1.0,Jasmine Ha,2
,,,,,,Indiana Clinical and Translational Sciences Institute Young Investigator Award,1.0,Johannes Van Biesebroeck,2
,,,,,,PIs)),1.0,Ayse Meryem Gurpinar Akbulut,2
,,,,,,China Scholarship Council (CSC) Research Scholarship,1.0,Marja-Leena Vepsalainen,2
,,,,,,Centre d'etudes et de recherches intemationales (CERIUM),1.0,Lindsey Whitfield,2
,,,,,,Data and Safety Monitoring Board,1.0,Durlauf,2
,,,,,,Nagoya Mental Clinic,1.0,Kristin Andree,2
,,,,,,Ports et developpement des hinterlands,1.0,Rod Little,2
,,,,,,Red Nacional para el Tratamiento y Prevencion de la Obesidad,1.0,Andrew Benitez,2
,,,,,,Federal State of Saxony-Anhalt,1.0,Allen J. Kim,2
,,,,,,Dutch Taskforce for Applied Research,1.0,Dick Murnane,2
,,,,,,Agentura Ceske Republiky (CZ)),1.0,Sarah Morse,2
,,,,,,des discours heterodoxes,1.0,Laura Salazar,2
,,,,,,"Indian Council of Agricultural Research, New Delhi",1.0,Stavros Tombazos,2
,,,,,,IRB (Internal Review Board,1.0,David Symes,2
,,,,,,Shandong Province Key Topics of Arts and Sciences,1.0,Mark Stoove,2
,,,,,,Chester County Archives,1.0,ProfessorNikolaos Zahariadis,2
,,,,,,Catalan Government (AGAUR,1.0,Allecia E. Reid,2
,,,,,,Volkswagen Foundation of Germany,1.0,Carlo Sgarra,2
,,,,,,National Archives Center,1.0,Jeremy Waldron,2
,,,,,,Perrott-Warrick Fund,1.0,Betty de Hart,2
,,,,,,Carnegie Trust Research Grant for Relationship Banking and Competition 2012,1.0,Robin Clark,2
,,,,,,The English Reform Movement of 1816-17,1.0,Arvind Chaudhary,2
,,,,,,"Province of Fryslan, The Netherlands",1.0,Aisha Walker,2
,,,,,,Calouste Gulbenkian Foundation (Lisbon),1.0,Salam Abu Ghoush,2
,,,,,,Province of Styria,1.0,Jen-Che Liao,2
,,,,,,ESRC research centre Corpus Approaches to Social Science (CASS),1.0,Helen Moewaka Barnes,2
,,,,,,Social Sciences and Humanities Internal Research Award,1.0,Marcela Koscianczuk,2
,,,,,,Society for the Psychology of Women (APA Division 35,1.0,Erin Erceg,2
,,,,,,Galway Millennium Fund,1.0,Enilson Solano,2
,,,,,,Ontario Centre of Excellence for Child and Youth Mental Health,1.0,Drs. Thompson,2
,,,,,,Short Term Fellowship,1.0,Lisa Bywaters,2
,,,,,,Project of Research,1.0,Anna Kende,2
,,,,,,Edward R. Roybal Centers for Translation of the Behavioral and Social Sciences of Aging,1.0,Amanda Koury,2
,,,,,,Social Sciences Research Council of Canada Standard Research,1.0,Gans,2
,,,,,,BRIDGES,1.0,Sharon Lund,2
,,,,,,A*MIDEX,1.0,Elmar Brahler,2
,,,,,,Robson Family,1.0,Hon Ho Kwok,2
,,,,,,Shota Rustaveli National Scientific Foundation of Georgia,1.0,James Schummer,2
,,,,,,Thrive Center for Human Development,1.0,Xinqiao Ping,2
,,,,,,European Network of Excellence SSPNet,1.0,Michael Grinkemeyer,2
,,,,,,H2020 Marie Sklodowska-Curie,1.0,Almen Praksis,2
,,,,,,Mawland Group,1.0,Youngstedt,2
,,,,,,Andrew & Renata Kaldor Centre for International Refugee Law,1.0,Baojun Bian,2
,,,,,,Oregon Department of Education,1.0,Tiffany Hamlin,2
,,,,,,McConnell Chair,1.0,Piotr Dworczak,2
,,,,,,Federation des Medecins Residents du Quebec (Quebec Federation of Resident Physicians,1.0,Megan Doherty Bea,2
,,,,,,Distinguished Lorentz,1.0,Eleanor Timreck,2
,,,,,,Aspirant,1.0,Susan Havercamp,2
,,,,,,MARUM-Center for Marine Environmental Sciences,1.0,Sycarah Fisher,2
,,,,,,Centre for Competitive Advantage in the Global Economy (CAGE),1.0,Erik Elvers,2
,,,,,,Center for the Protection of Intellectual Property,1.0,Emily M. Douglas,2
,,,,,,SUTD-MIT IDC grant,1.0,Maria Elvira Mancino,2
,,,,,,programme Investments for the Future,1.0,Jorge Freile,2
,,,,,,Promote Public Health Research,1.0,Stephen C. Levinson,2
,,,,,,FONCYT,1.0,Marissa Gastelle,2
,,,,,,Centre for Longitudinal Study Information  User Support (CeLSIUS),1.0,John S.,2
,,,,,,ESSEC Research Centre (CERESSEC),1.0,Sharon Pickrel,2
,,,,,,Central Bank of Malaysia Shari'ah,1.0,Patrick O'Brien,2
,,,,,,Conselleria de Sanitat de la Generalitat Valenciana,1.0,Maarten Gerard,2
,,,,,,2013 Association of Academic Surgery Research Fellowship Award,1.0,ZonMw.,2
,,,,,,Netherlands Organisation for Scientific Research (NWO) Graduate Programme,1.0,Jorge R. Busch,2
,,,,,,The Awesome Foundation (Ottawa),1.0,Paulina Oliva,2
,,,,,,VA Rehabilitation Research and Development Traumatic Brain Injury Center of Excellence,1.0,Heather Bourne,2
,,,,,,NICHD Center for Population Research,1.0,Kemal Guler,2
,,,,,,NIAAA K23,1.0,Dominik Wabersich,2
,,,,,,Family and Youth Services Bureau,1.0,Felipe Carozzi,2
,,,,,,European Society of Criminology 2017 Conference EurCrime,1.0,Alberto Galvao Teles,2
,,,,,,GGZ inGeest,1.0,Banging Fan,2
,,,,,,NIHR/Wellcome Trust King's Clinical Research Facility,1.0,Noemie Merleau-Ponty,2
,,,,,,Marie Sklodowska Curie Action (MSCA),1.0,Karim Chalak,2
,,,,,,Recanati Fund,1.0,Wayne Osgood,2
,,,,,,Program to Eliminate Cancer Disparities,1.0,Ruth Montoya-Starr,2
,,,,,,GR,1.0,Suk-Young Kang,2
,,,,,,National Science Foundation (NSF) Doctoral Dissertation Research Improvement Grant,1.0,Marian J. Bakermans-Kranenburg,2
,,,,,,Anstey,1.0,Daniel Aldrich,2
,,,,,,Fondation Medicale Reine Elisabeth (FMRE),1.0,Elly Bulkin,2
,,,,,,Abdul Latif Jameel Poverty Action Lab,1.0,Karen Margrethe Wilken,2
,,,,,,French Institute of South Africa-Research (IFAS-Recherche),1.0,Martha Nussbaum,2
,,,,,,KPH Environmental Humanities Laboratory,1.0,S. Weber,2
,,,,,,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD) Early Child Care Research Network,1.0,"Buddy"" Howell",2
,,,,,,Public Policy Research Funding Scheme / 2014.A1.00,1.0,Daphna Hacker,2
,,,,,,"Ministere de l'Education, du Loisir et du Sport",1.0,Sarah Zgraggen,2
,,,,,,FNN,1.0,David Tripe,2
,,,,,,Smart Disaster Governance,1.0,Tim Blagden,2
,,,,,,Cultural Evolution of Religion Consortium,1.0,Huaihong Su,2
,,,,,,Research Grant for New Scholars,1.0,Jan Moore,2
,,,,,,Cambridge Home and EU Scholarship Scheme,1.0,Jan-Oliver Menz,2
,,,,,,Asian Bureau of Finance and Economic Research (ABFER),1.0,Luis Romero,2
,,,,,,Charles H. Hood Child Health Research Foundation,1.0,Maria Whelan,2
,,,,,,Innovation Research Project Scheme,1.0,Jas Gidda,2
,,,,,,Health Services Research and Development Service Evidence-based Synthesis Program (ESP),1.0,Lindsey Leininger,2
,,,,,,Scientific and Technological Research Council of Turkey (TUBITAK) 2219 Post Doctorate Research Scholarship,1.0,C. Townley,2
,,,,,,National Science Foundation of Learning Program,1.0,Helena Kolenda,2
,,,,,,Scientific Research on Innovative Areas,1.0,Mallory Rees,2
,,,,,,"Communicable Diseases Public Health Research Fund, Ministry of Health Singapore",1.0,David Lazer,2
,,,,,,Promote Diversity in Health-Related Research,1.0,Jonah Gelbach,2
,,,,,,Special Program Central Asia of the Gerda Henkel Foundation,1.0,Peter Schofield,2
,,,,,,National Centre for Research and Development (NCRD),1.0,Russell E. Glasgow,2
,,,,,,Canada Research Chair in Global Sexual Health,1.0,Thomas Volscho,2
,,,,,,PNC Foundation,1.0,Sylvanus Spencer,2
,,,,,,"Spanish Board for Science, Technology, and Innovation",1.0,Alexander Pevnov,2
,,,,,,OVL,1.0,Golin.,2
,,,,,,Guildford Green Foundation,1.0,Fran Wasoff,2
,,,,,,BMC,1.0,Chantel Walwyn,2
,,,,,,Evelyn Trust,1.0,Mark Feinberg,2
,,,,,,Arnold W. Strauss Fellowship Award for Excellence in Research,1.0,Tatsushi Oka,2
,,,,,,European programs QREN (National Strategic Reference Framework),1.0,Bailey,2
,,,,,,RECSOC,1.0,Francis Steen,2
,,,,,,completar esta investigacion para aprender mas sobre lo que significa ser bilingue,1.0,Peter-John Gordon,2
,,,,,,Centre for Ageing Research and Development in Ireland,1.0,Sarah Brayne,2
,,,,,,Mozilla Foundation,1.0,Holly Faubion,2
,,,,,,Norwegian Medical Association,1.0,Julia Iori,2
,,,,,,"Newton International Fellowship, British Academy, United Kingdom",1.0,Luis Ortega,2
,,,,,,Experimental Psychology Society (UK),1.0,Christie Jeung,2
,,,,,,Education and Scientific Research Project for Middle-aged and Young Teachers,1.0,Jess Todhunter,2
,,,,,,La dimension economica de la socializacion politica en los manuales escolares espanoles desde el Tardofranquismo hasta la Transicion,1.0,Dave Runsten,2
,,,,,,Bavarian State Ministry of the Environment and Consumer Protection,1.0,Elisiv Bakketeig,2
,,,,,,Randomized Clinical Trial and Manual Development,1.0,Lyndel Bates,2
,,,,,,MOE (Ministry of Education of China) Key Project of Philosophy and Social Sciences,1.0,Mica Szendro,2
,,,,,,Jiangsu Traditional Chinese Medicine Foundation,1.0,Mona Jebril,2
,,,,,,Swedish Wages in Comparative Perspective,1.0,A. Pov,2
,,,,,,International Research Centre@Singapore Funding Initiative,1.0,Peter Grabarczyk,2
,,,,,,French Speaking Community Concerted Research Action,1.0,C. Velasco,2
,,,,,,Fujian Scholarships for Study abroad,1.0,Helen Nicholson,2
,,,,,,GRAMMY Foundation,1.0,Tammy Ellies,2
,,,,,,South Africa-Norway Research Co-operation (SANCOOP),1.0,Assoc.,2
,,,,,,Delhi Brotherhood Society,1.0,Michael O' Neill,2
,,,,,,Structural Funds of the EU,1.0,Kyla Wethli,2
,,,,,,Ontario Ministry of Natural Resources under Provincial Parks and Conservation Reserves Act,1.0,Maureen Waller,2
,,,,,,Isle of Man,1.0,Andrew Gunnoe,2
,,,,,,Sheldon Korchin Dissertation Fellowship,1.0,Lawrence Calhoun,2
,,,,,,formas y apropiaciones de la cultura escrita en espacios publicos desde la primera Edad Moderna hasta nuestros dias,1.0,Ana Ventuneac,2
,,,,,,Research and Documentation Centre of the Dutch Ministry of Safety and Justice,1.0,Daniel Cheng,2
,,,,,,"Spanish Ministry of Economy: ""Crisis and reconstruction of labour markets in Catalonia",1.0,Yanling Liang,2
,,,,,,Teoria e historiografia artisticas del Siglo de Oro,1.0,Chris Quine,2
,,,,,,Iuventus Plus program of Poland's Ministry of Science and Higher Education,1.0,Atacan Atakan,2
,,,,,,David Rich Postdoctoral Scholar Award,1.0,Caelesta Braun,2
,,,,,,Hujiang Foundation of China,1.0,Peter Luchau,2
,,,,,,King's Centre for Military Health Research,1.0,Lucinda Simmons,2
,,,,,,"National Hybridity Project: Innovative Governance, Judicial and Sociological Approaches in Turkey",1.0,Yves Balasko,2
,,,,,,Criminology Research Grant,1.0,Marc Hallin,2
,,,,,,Fundamental Research Grant Scheme (FRGS) of Vot,1.0,Laura Peattie,2
,,,,,,Royal Society of Arts,1.0,Philisa Abafazi Bethu,2
,,,,,,Keats Endowment Research Fund,1.0,Marc,2
,,,,,,ULPGC,1.0,Andrea Riemenschnitter,2
,,,,,,Netherlands,1.0,Aleksandra Sobota,2
,,,,,,ISCIII-Subdireccion General de Evaluacion y Fomento de la investigacion del Fondo Europeo de Desarrollo Regional (FEDER),1.0,Sara Kinsey,2
,,,,,,Vietnamese Community in Australia,1.0,Alison Rutherford,2
,,,,,,Estonian Research Council Personal Research Funding,1.0,Miri Rom-Shvartzvald,2
,,,,,,la recherche de la Faculte des sciences de l'administration,1.0,Anna Nemeth,2
,,,,,,Wuhan University Humanities and Social Sciences Academic Development Program for Young Scholars,1.0,Nakia Clemmons,2
,,,,,,Department of Psychology and Neuroscience at UNC-CH,1.0,Kumi M. Smith,2
,,,,,,"Gambling Support Program, Department of Health and Human Services, Tasmania",1.0,Sonya A. Satinsky,2
,,,,,,DIL Innovate grant,1.0,Marco Annoni,2
,,,,,,DFID Vietnam,1.0,Maria Fernanda Rosales,2
,,,,,,Climate Policy Integration/CLIP-IN project,1.0,Rosie Campbell,2
,,,,,,Asociacion de Amigos de la Universidad de Navarra,1.0,Solveig Fagerlund,2
,,,,,,National Institute for the Humanities and Social Sciences-Council for the Development of Social Science Research in Africa (NIHSS-CODESRIA),1.0,Ray Silvius,2
,,,,,,Templeton Foundation Grant,1.0,Sidsel Roalkvam,2
,,,,,,Bureau of Financial Protection,1.0,Ella Vermeir,2
,,,,,,Hans Biasch Foundation for the Promotion of Applied Psychology,1.0,Ruth Cameron,2
,,,,,,NASDAQ OMX Nordic Foundation,1.0,Takeo David Hymans,2
,,,,,,International Paralympic Committee,1.0,Consuelo Carrillo,2
,,,,,,Diachrony of definiteness,1.0,Alison Antes,2
,,,,,,y Competitividad,1.0,Tom Davidoff,2
,,,,,,Ministerio de Ciencia e Innovacion (MICINN),1.0,Magali McDuffie,2
,,,,,,Alexander O. Vietor Fellowship,1.0,Shelley Phipps,2
,,,,,,Seminars of the Department of Economic History and Institutions,1.0,Julie Broderick,2
,,,,,,Centre de Documentation et d,1.0,Hyoun K. Kim,2
,,,,,,Science and Technology Department/Brazilian Ministry of Health,1.0,Remi Leger,2
,,,,,,Archie Fund,1.0,Gordon Gauchat,2
,,,,,,Flanders Innovation & Entrepreneur,1.0,Nacho Sanchez de la Yncera,2
,,,,,,"Commonwealth Fund, New York",1.0,Stephanie Y. C. Leung,2
,,,,,,Research Foundation of the Mannerheim League for Child Welfare,1.0,Martin Hahn,2
,,,,,,National Child Data Centre-NCDC,1.0,Steve Hemelt,2
,,,,,,Philosophy and Social Sciences Planning Foundation of Tianjin,1.0,Toni Cleaver,2
,,,,,,"Analisis de los marcos interpretativos de las politicas autonomicas de igualdad de genero en Espana: un analisis comparado entre Andalucia, Cataluna, Madrid y Pais Vasco 2005-2008 IM65/04",1.0,Hans-Bockler-Stiftung,2
,,,,,,Werner Jackstadt Foundation,1.0,Nandini Gooptu,2
,,,,,,The Ragnar Soderberg foundation,1.0,Bob Aumann,2
,,,,,,"Health, Labour, and Welfare for Scientific Research",1.0,Mallesh Pai,2
,,,,,,Jenny Balston Scholarship,1.0,Alba Illa,2
,,,,,,Congress Primeras Jornadas de Historia Economica de la Asociacion Mexicana de Historia Economica (Mexico,1.0,Maureen Heffernan,2
,,,,,,ING Baring Archives,1.0,Tom Counsell,2
,,,,,,NUS Start-Up Research,1.0,Eirin Molland,2
,,,,,,Hong Kong Scholar Program,1.0,Sebastian Ziaja,2
,,,,,,FP7 project SYNENERGENE,1.0,Galichon,2
,,,,,,Paulette Granberry Russell/Office for Inclusion and Intercultural Initiatives,1.0,Yiyan Huang,2
,,,,,,Consejo Nacional de Ciencia y Tecnologia (National Council of Science and Technology),1.0,McCloud,2
,,,,,,New Frontiers in Latin America Economic History,1.0,R. Cieslak,2
,,,,,,Reading for Understanding Research Initiative,1.0,Valencia Msimbe,2
,,,,,,ProExzellenz program of the state of Thuringia,1.0,Isabelle Coupier,2
,,,,,,American Heart Association Midwest Affiliate Predoctoral Fellowship,1.0,Aaron Cohen,2
,,,,,,Dorabji Tata Trust,1.0,Esther Payne-Cook,2
,,,,,,Ministry of Education & China Mobile Joint Research Fund Program,1.0,Sinead Finan,2
,,,,,,State of Alaska's Salmon and People (SASAP and Data Task Force (DTF) Projects,1.0,Peter Reiner,2
,,,,,,"Agencia Nacional de Promocion Cientifica y Tecnologica (ANPCyT, Argentina",1.0,Rossanna Gonzalez,2
,,,,,,"Ministry of Science and Technological Development, Republic of Serbia",1.0,JON A. KROSNICK,2
,,,,,,German Historical Institute Paris,1.0,Istvan Laszloffy,2
,,,,,,Education Department of Henan Province Project of Philosophy and Social Science Research,1.0,Ray Hudson,2
,,,,,,"NRMA-ACT Road Safety Trust, Australia",1.0,Alice Evans,2
,,,,,,Lorentz Center,1.0,Stacey Rucas,2
,,,,,,The Bial Foundation,1.0,Ali Cevat Tasiran,2
,,,,,,German Federal Highway Research Institute,1.0,Abdallah Rothman,2
,,,,,,Midwestern Psychological Association,1.0,Joris Klingen,2
,,,,,,Research Personnel in Training (PIF) 2011-2014,1.0,Amy Benson Brown,2
,,,,,,General Directorate of Reintegration and Prison Services of the Portuguese Ministry of Justice,1.0,Eric Lopez,2
,,,,,,U01 PS000700-Minority HIV/AIDS Research Initiative,1.0,Kathryn Hochstetler,2
,,,,,,Young People of Humanities and Social Sciences of the Ministry of Education of China,1.0,Arturas Juodis,2
,,,,,,French National Research Center,1.0,Jorg Sander,2
,,,,,,federal states of Berlin and Brandenburg,1.0,Tianyu Ying,2
,,,,,,Research Unit Person Perception,1.0,Ronald Burt,2
,,,,,,Initiative Millennium Science Project,1.0,Emil Hedevang,2
,,,,,,MIDUS,1.0,Melody Mickens,2
,,,,,,National Institute of General Medical Sciences Training Grant,1.0,Dr Willows,2
,,,,,,British American Nineteenth Century Historians,1.0,Karen Sampson,2
,,,,,,European structural funds,1.0,Greyson Soukup,2
,,,,,,"European Social Science History Conference, Belfast",1.0,Do Van Dung,2
,,,,,,Economic History Society Power Fellowship,1.0,Vratislav Havlik,2
,,,,,,Russian State Archive of Economy (RGAE),1.0,Dario Enriquez,2
,,,,,,African Humanities Program (AHP),1.0,Mike Frumkin,2
,,,,,,"NCEI, NOAA",1.0,Kathryn Mearns,2
,,,,,,Exploratory Data and Travel Grant,1.0,A. Pietraszkiewicz,2
,,,,,,Sixth Batch of Accounting Research Key Program of Hubei Accounting Society,1.0,Wei Li,2
,,,,,,Accion Ciudadana (AC),1.0,Jane Ussher,2
,,,,,,Guangzhou,1.0,Camilo Garcia-Jimeno,2
,,,,,,European Union Trade Agreements and Labour Standards,1.0,Innocent Mhoni,2
,,,,,,Royal Victorian Eye and Ear Hospital,1.0,Marcela Sabate,2
,,,,,,Democracy Fund,1.0,Marcia Meyers,2
,,,,,,Doctoral Fellowship Programme,1.0,Diane Thornton,2
,,,,,,NIH T35 Program,1.0,Quinn Slobodian,2
,,,,,,National Funds funds,1.0,Keijo Halonen,2
,,,,,,Humboldt Initiative Structured PhD program,1.0,T. A.,2
,,,,,,SENACYT Institute,1.0,Mary Palermo,2
,,,,,,Bradford Teaching Hospitals NHS Foundation Trust,1.0,Laura Amendola,2
,,,,,,National Institute of Health Research Technology Assessment Programme,1.0,Jin Seo Cho,2
,,,,,,NOXTIN: Equal Justice,1.0,"Z., Hossain",2
,,,,,,Haute-Savoie General Council,1.0,Gwendolyn Schulte,2
,,,,,,Freudenberg Stiftung (for Study 1,1.0,Zach Lipp,2
,,,,,,333 Project of Training High-level Talents of Jiangsu Province,1.0,Darcie Binder,2
,,,,,,Swedish Research Links/Vetenskapsradet,1.0,Rose Medeiros,2
,,,,,,Lesbian Health Fund of the Gay and Lesbian Medical Association,1.0,Semih Goktalay,2
,,,,,,Arkansas Economic Development Commission,1.0,Madison Renner,2
,,,,,,Wellcome Trust PhD studentship,1.0,Stefania Tonin,2
,,,,,,WDSK,1.0,Hanne Andersen,2
,,,,,,"DGIST R&D Program of Ministry of Education, Science and Technology of Korea",1.0,Sarah Johnston,2
,,,,,,Science and Technology Project of Department of Education of Jiangxi Province,1.0,Vincent lalenti,2
,,,,,,National Center for Complementary & Alternative Medicine,1.0,Julienne E. Bower,2
,,,,,,NHMRC Research Fellowship,1.0,Deb Hayes,2
,,,,,,Zhejiang Provincial Philosophy and Social Science Planning Project of China,1.0,Roger Chennells,2
,,,,,,National Archives in Kansas City,1.0,Katharine Broton,2
,,,,,,Kentucky Chief Medical Examiner,1.0,Phil Jones,2
,,,,,,Dutch Research Council (NWO),1.0,Johannes Bohn,2
,,,,,,The Finnish Medical Association,1.0,Deborah Gross,2
,,,,,,National Council for the Improvement of Higher Education and Research and Events Incentive Fund of Hospital de Clinicas de Porto Alegre,1.0,Chris Hodges,2
,,,,,,"European Community's Seventh Framework Programme FP7/2007-2013 (Specific Programme Cooperation, Theme 3, Information and Communication Technologies)",1.0,Sonja Mackenzie,2
,,,,,,State of Sao Paulo Research Foundation (FAPESP),1.0,Hui-Fang Chen,2
,,,,,,North Portugal Regional Operational Programme 2007/2013,1.0,Juan Andres Riquelme,2
,,,,,,Research on Democratic Supervision of Poverty Relief in Yunnan Province,1.0,Jason Lyall,2
,,,,,,ITN project Eduworks,1.0,Amahl Bishara,2
,,,,,,FNR,1.0,Gert Goeminne,2
,,,,,,Kongsberg Norcontrol,1.0,Karen-Sue Taussig,2
