text,abbreviation,full
PanAmerican Health Organization,PAHO,PanAmerican Health Organization (PAHO)
Physical Artifacts of Interaction Research Group,PAIRG,Physical Artifacts of Interaction Research Group (PAIRG)
Peruvian American Medical Society,PAMS,Peruvian American Medical Society (PAMS)
Polar Academic Program,PAP,Polar Academic Program (PAP)
Programa de Apoyo a Proyectos de Investigacion e Innovacion Tecnologica,PAPIIT,Programa de Apoyo a Proyectos de Investigacion e Innovacion Tecnologica (PAPIIT)
Program for Aquaculture Regulatory Research,PARR,Program for Aquaculture Regulatory Research (PARR)
Potential Academic Staff,PAS,Potential Academic Staff (PAS)
Platform for Advanced Scientific Computing,PASC,Platform for Advanced Scientific Computing (PASC)
Program for Array Seismic Studies of the Continental Lithosphere,PASSCAL,Program for Array Seismic Studies of the Continental Lithosphere (PASSCAL)
Programs for Assessment of Technology in Health,PATH,Programs for Assessment of Technology in Health (PATH)
Philippine Council for Agriculture Aquatic and Natural Resources Research and Development,PCAARRD,Philippine Council for Agriculture Aquatic and Natural Resources Research and Development (PCAARRD)
Public Company Accounting Oversight Board,PCAOB,Public Company Accounting Oversight Board (PCAOB)
Philippine California Advanced Research Institute,PCARI,Philippine California Advanced Research Institute (PCARI)
Purdue Climate Change Research Center,PCCRC,Purdue Climate Change Research Center (PCCRC)
Prostate Cancer Foundation of Australia,PCFA,Prostate Cancer Foundation of Australia (PCFA)
DOE Program on Coupled Human Earth Systems,PCHES,DOE Program on Coupled Human Earth Systems (PCHES)
Philippine Council for Health Research and Development,PCHRD,Philippine Council for Health Research and Development (PCHRD)
Hoover Project on Commercializing Innovation,PCI,Hoover Project on Commercializing Innovation (PCI)
Plymouth Coastal Observatory,PCO,Plymouth Coastal Observatory (PCO)
Programme Doctoral International Modelisation des Systemes Complexes,PDIMSC,Programme Doctoral International Modelisation des Systemes Complexes (PDIMSC)
Product Development and Management Association,PDMA,Product Development and Management Association (PDMA)
NOAA Product Development Readiness and Application,PDRA,NOAA Product Development Readiness and Application (PDRA)
Postdoctoral and Early Career Researcher Exchanges,PECE,Postdoctoral and Early Career Researcher Exchanges (PECE)
Paris Environmental and Energy Economics Seminar,PEEES,Paris Environmental and Energy Economics Seminar (PEEES)
Political Economy of Financial Markets,PEFM,Political Economy of Financial Markets (PEFM)
Partnership to Enhance General Aviation Safety Accessibility and Sustainability,PEGASAS,Partnership to Enhance General Aviation Safety Accessibility and Sustainability (PEGASAS)
Port Elizabeth Museum,PEM,Port Elizabeth Museum (PEM)
Paediatric Emergency Medicine Research Associates Program,PEMRAP,Paediatric Emergency Medicine Research Associates Program (PEMRAP)
Program on Education Policy and Governance,PEPG,Program on Education Policy and Governance (PEPG)
Partnership for Environmental Research and Community Health,PERCH,Partnership for Environmental Research and Community Health (PERCH)
Peptide Research Network of Excellence,PeReNE,Peptide Research Network of Excellence (PeReNE)
Pla Estrategic de Recerca i Innovacio en Salut,PERIS,Pla Estrategic de Recerca i Innovacio en Salut (PERIS)
Project on Ethnicity and Race in Latin America,PERLA,Project on Ethnicity and Race in Latin America (PERLA)
Partnership for Ecosystem Research and Management,PERM,Partnership for Ecosystem Research and Management (PERM)
Paediatric Emergency Research Team,PERT,Paediatric Emergency Research Team (PERT)
Petroleum Exploration Society of Australia,PESA,Petroleum Exploration Society of Australia (PESA)
Enhance Scholarly and Creative Activities,PESCA,Enhance Scholarly and Creative Activities (PESCA)
Programa de Educacao Tutorial,PET,Programa de Educacao Tutorial (PET)
Political Economy and Transnational Governance,PETGOV,Political Economy and Transnational Governance (PETGOV)
Professional Fish Harvesters Certification Board,PFHCB,Professional Fish Harvesters Certification Board (PFHCB)
Partners for Resilience,PfR,Partners for Resilience (PfR)
Polar Geospatial Center,PGC,Polar Geospatial Center (PGC)
Programme Grants for Applied Research,PGfAR,Programme Grants for Applied Research (PGfAR)
NOAA JPSS Proving Ground and Risk Reduction,PGRR,NOAA JPSS Proving Ground and Risk Reduction (PGRR)
Private Healthcare Australia,PHA,Private Healthcare Australia (PHA)
Public Health Agency of Canada,PHAC,Public Health Agency of Canada (PHAC)
TThe Pediatric HIVAIDS Cohort Study,PHACS,TThe Pediatric HIVAIDS Cohort Study (PHACS)
Public Health and Agricultural Rural Ecosystem Scholarship,PHARE,Public Health and Agricultural Rural Ecosystem Scholarship (PHARE)
Population Health Intervention Research Network,PHIRN,Population Health Intervention Research Network (PHIRN)
Population Health Intervention Research Network,PHIRNET,Population Health Intervention Research Network (PHIRNET)
Prairie Habitat Joint Venture,PHJV,Prairie Habitat Joint Venture (PHJV)
Public Health Practice Evaluation Scheme,PHPES,Public Health Practice Evaluation Scheme (PHPES)
Philippine Health Research Ethics Network,PHREN,Philippine Health Research Ethics Network (PHREN)
Pharmaceutical Research and Manufacturers of America,PhRMA,Pharmaceutical Research and Manufacturers of America (PhRMA)
Public Health Services and Systems Research,PHSSR,Public Health Services and Systems Research (PHSSR)
Palau International Coral Reef Center,PICRC,Palau International Coral Reef Center (PICRC)
Proyectos de Investigacion Cientifica y Tecnologica,PICT,Proyectos de Investigacion Cientifica y Tecnologica (PICT)
Processes Influencing Democratic Ownership and Participation,PIDOP,Processes Influencing Democratic Ownership and Participation (PIDOP)
Program for Interdisciplinary Environmental Research,PIER,Program for Interdisciplinary Environmental Research (PIER)
PEPAUSAID Policy Impact Evaluation Research Initiative,PIERI,PEPAUSAID Policy Impact Evaluation Research Initiative (PIERI)
Presidents International Fellowship Initiative,PIFI,Presidents International Fellowship Initiative (PIFI)
MITs Program on Innovation in Markets and Organizations,PIMO,MITs Program on Innovation in Markets and Organizations (PIMO)
Ministerial Exemption from Primary Industries Resources South Australia,PIRSA,Ministerial Exemption from Primary Industries Resources South Australia (PIRSA)
Policy Innovation Research Unit,PIRU,Policy Innovation Research Unit (PIRU)
Partnership for Interdisciplinary Studies of Coastal Oceans,PISCO,Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO)
Pennsylvania Infrastructure Technology Alliance,PITA,Pennsylvania Infrastructure Technology Alliance (PITA)
Political Instability Task Force,PITF,Political Instability Task Force (PITF)
Publikasi Internasional Terindeks Untuk Tugas Akhir Mahasiswa,PITTA,Publikasi Internasional Terindeks Untuk Tugas Akhir Mahasiswa (PITTA)
Palli KarmaSahayak Foundation,PKSF,Palli KarmaSahayak Foundation (PKSF)
Position Location and Navigation,PLAN,Position Location and Navigation (PLAN)
Lake Poyang Laboratory for Wetland Ecosystem Research,PLWER,Lake Poyang Laboratory for Wetland Ecosystem Research (PLWER)
Phuket Marine Biological Centre,PMBC,Phuket Marine Biological Centre (PMBC)
Presidency of Meteorology and Environment,PME,Presidency of Meteorology and Environment (PME)
Penn Mental Health AIDS Research Center,PMHARC,Penn Mental Health AIDS Research Center (PMHARC)
Parque Natural da Arrabida,PNA,Parque Natural da Arrabida (PNA)
Nauru Agreement Office,PNAO,Nauru Agreement Office (PNAO)
PIRATA Northeast Extension,PNE,PIRATA Northeast Extension (PNE)
Pacific Northwest National Laboratory,PNNL,Pacific Northwest National Laboratory (PNNL)
Parque Nacional de Ordesa y Monte Perdido,PNOMP,Parque Nacional de Ordesa y Monte Perdido (PNOMP)
NASA Physical Oceanography,PO,NASA Physical Oceanography (PO)
Physical Oceanography Distributed Active Archive Center,PODAAC,Physical Oceanography Distributed Active Archive Center (PODAAC)
Philippine Overseas Employment Administration,POEA,Philippine Overseas Employment Administration (POEA)
Pars Oil and Gas Company,POGC,Pars Oil and Gas Company (POGC)
Programa Operacional Regional,POR,Programa Operacional Regional (POR)
Pharmacoeconomics and Outcomes Research Iberia,PORIB,Pharmacoeconomics and Outcomes Research Iberia (PORIB)
Psychosocial Oncology Research Training,PORT,Psychosocial Oncology Research Training (PORT)
Post Office Savings Bank,POSB,Post Office Savings Bank (POSB)
PostPrimary Education,PPE,PostPrimary Education (PPE)
Northwest Patient and Public Involvement,PPI,Northwest Patient and Public Involvement (PPI)
Prevention and Control of Cancer PostDoctoral Training in Implementation Science,PRACCTIS,Prevention and Control of Cancer PostDoctoral Training in Implementation Science (PRACCTIS)
Partnership for Advanced Computing in Europe,PRACE,Partnership for Advanced Computing in Europe (PRACE)
Population Research Center,PRC,Population Research Center (PRC)
Puerto Rico Center for Environmental Neuroscience,PRCEN,Puerto Rico Center for Environmental Neuroscience (PRCEN)
Program of Research on the Economics of Invasive Species Management,PREISM,Program of Research on the Economics of Invasive Species Management (PREISM)
Precursory Research for Embryonic Science and Technology,PRESTO,Precursory Research for Embryonic Science and Technology (PRESTO)
Purdue Research Foundation,PRF,Purdue Research Foundation (PRF)
Partnership for Research and Innovation in the Health System,PRIHS,Partnership for Research and Innovation in the Health System (PRIHS)
Program of Interdisciplinary Mathematics Ecology and Statistics,PRIMES,Program of Interdisciplinary Mathematics Ecology and Statistics (PRIMES)
Policy Reform Initiative Project,PRIP,Policy Reform Initiative Project (PRIP)
DU Professional Research Opportunity for Faculty,PROF,DU Professional Research Opportunity for Faculty (PROF)
PatientReported Outcomes Measurement Information System,PROMIS,PatientReported Outcomes Measurement Information System (PROMIS)
Policy Research and Strategy Support Program,PRSSP,Policy Research and Strategy Support Program (PRSSP)
Programme for Research in ThirdLevel Institutions,PRTLI,Programme for Research in ThirdLevel Institutions (PRTLI)
Predictive Science Academic Alliance Program,PSAAP,Predictive Science Academic Alliance Program (PSAAP)
Public Service Electric and Gas Company,PSEG,Public Service Electric and Gas Company (PSEG)
FAA Program Support Facility,PSF,FAA Program Support Facility (PSF)
Population Services InternationalLesotho,PSI,Population Services InternationalLesotho (PSI)
Physical Sciences of Imaging in the Biomedical Sciences,PSIBS,Physical Sciences of Imaging in the Biomedical Sciences (PSIBS)
Donor Group of the Productive Safety Net Program,PSNP,Donor Group of the Productive Safety Net Program (PSNP)
Piano di Sviluppo Rurale,PSR,Piano di Sviluppo Rurale (PSR)
Pakistan Strategy Support Program,PSSP,Pakistan Strategy Support Program (PSSP)
Population Studies and Training Center,PSTC,Population Studies and Training Center (PSTC)
Peoples Trust for Endangered Species,PTES,Peoples Trust for Endangered Species (PTES)
Palomar Transient Factory,PTF,Palomar Transient Factory (PTF)
Pottstown TraumaInformed Community Connection,PTICC,Pottstown TraumaInformed Community Connection (PTICC)
Projekttrager Reaktorsicherheitsforschung,PTR,Projekttrager Reaktorsicherheitsforschung (PTR)
Public Transport Victoria,PTV,Public Transport Victoria (PTV)
Programa Universitario de Medio Ambiente,PUMA,Programa Universitario de Medio Ambiente (PUMA)
Program Penelitian Unggulan Perguruan Tinggi,PUPT,Program Penelitian Unggulan Perguruan Tinggi (PUPT)
Pesquisador Visitante Especial,PVE,Pesquisador Visitante Especial (PVE)
Pacific Whale Foundation,PWF,Pacific Whale Foundation (PWF)
Queensland Airports Ltd,QAL,Queensland Airports Ltd (QAL)
Qatar Carbonates and Carbon Storage Research Centre,QCCSRC,Qatar Carbonates and Carbon Storage Research Centre (QCCSRC)
Queensland Centre for Social Science Innovation,QCSSI,Queensland Centre for Social Science Innovation (QCSSI)
HKSAR Quality Education Fund,QEF,HKSAR Quality Education Fund (QEF)
Queensland Education and Training International,QETI,Queensland Education and Training International (QETI)
Queensland Gas Company,QGC,Queensland Gas Company (QGC)
Quebec Interuniversity Centre for Social Statistics,QICSS,Quebec Interuniversity Centre for Social Statistics (QICSS)
Queensland Injury Surveillance Unit,QISU,Queensland Injury Surveillance Unit (QISU)
Qingdao National Laboratory for Marine Science and Technology,QNLM,Qingdao National Laboratory for Marine Science and Technology (QNLM)
Qatar National Research Fund,QNRF,Qatar National Research Fund (QNRF)
NOAA Quantitative Observing Systems Assessment Program,QOSAP,NOAA Quantitative Observing Systems Assessment Program (QOSAP)
Quebec Population Health Research Network,QPHRN,Quebec Population Health Research Network (QPHRN)
Quantitative and Systems Biology,QSB,Quantitative and Systems Biology (QSB)
Quality Safety and Comparative Effectiveness Research Training,QSCERT,Quality Safety and Comparative Effectiveness Research Training (QSCERT)
Quinault Treaty Area,QTA,Quinault Treaty Area (QTA)
Chinese Quality and Technology Supervision Bureau,QTSB,Chinese Quality and Technology Supervision Bureau (QTSB)
Quandamooka Yoolooburrabee Aboriginal Corporation,QYAC,Quandamooka Yoolooburrabee Aboriginal Corporation (QYAC)
Research Alliance for Accessible Voting,RAAV,Research Alliance for Accessible Voting (RAAV)
Regional Activity Centre for Specially Protected Areas,RAC-SPA,Regional Activity Centre for Specially Protected Areas (RAC-SPA)
Remote Access Data Laboratory,RADL,Remote Access Data Laboratory (RADL)
Research Agenda for Health Economic Evaluation,RAHEE,Research Agenda for Health Economic Evaluation (RAHEE)
Pacific Reef Assessment and Monitoring Program,RAMP,Pacific Reef Assessment and Monitoring Program (RAMP)
Ressources Aquatiques Quebec,RAQ,Ressources Aquatiques Quebec (RAQ)
Regie Autonome des Transports Parisiens,RATP,Regie Autonome des Transports Parisiens (RATP)
Reserve Bank of Australia,RBA,Reserve Bank of Australia (RBA)
Royal Bank of Scotland,RBS,Royal Bank of Scotland (RBS)
Royal Brisbane and Womens Hospital,RBWH,Royal Brisbane and Womens Hospital (RBWH)
UWA Research Collaboration Award,RCA,UWA Research Collaboration Award (RCA)
Regional Council of ChampagneArdenne,RCCA,Regional Council of ChampagneArdenne (RCCA)
Research Councils Energy Programme,RCEP,Research Councils Energy Programme (RCEP)
Rimini Center of Economic Resarch,RCER,Rimini Center of Economic Resarch (RCER)
Research Center for Energy Technology and Strategy,RCETS,Research Center for Energy Technology and Strategy (RCETS)
Research Center for Open Digital Innovation,RCODI,Research Center for Open Digital Innovation (RCODI)
Robust CyberPhysical Systems,RCPS,Robust CyberPhysical Systems (RCPS)
Royal College of Surgeons in Ireland,RCSI,Royal College of Surgeons in Ireland (RCSI)
Rural Development Administration,RDA,Rural Development Administration (RDA)
Center for Robust Decision Making on Climate and Energy Policy,RDCEP,Center for Robust Decision Making on Climate and Energy Policy (RDCEP)
Research Development Fund,RDF,Research Development Fund (RDF)
Research Development Program,RDP,Research Development Program (RDP)
Rural Electrification Authority of Zambia,REA,Rural Electrification Authority of Zambia (REA)
KLCs Research Ethics and Access Committee,REAC,KLCs Research Ethics and Access Committee (REAC)
Regional Approaches to Climate Change,REACCH,Regional Approaches to Climate Change (REACCH)
Division of Research and Economic Development and Engagement,REDE,Division of Research and Economic Development and Engagement (REDE)
Reef Environmental Education Foundation,REEF,Reef Environmental Education Foundation (REEF)
Research Enhancement Grants,REG,Research Enhancement Grants (REG)
Regional Economic Information System,REIS,Regional Economic Information System (REIS)
Influences of Real Estate Investment Trusts,REIT,Influences of Real Estate Investment Trusts (REIT)
Reef Ecology Laboratory,REL,Reef Ecology Laboratory (REL)
Real Estate Roundtable,RER,Real Estate Roundtable (RER)
Real Estate Research Corporation,RERC,Real Estate Research Corporation (RERC)
Radiation Effects Research Foundation,RERF,Radiation Effects Research Foundation (RERF)
Royal Economics Society,RES,Royal Economics Society (RES)
Russian Foundation for Basic Research,RFBR,Russian Foundation for Basic Research (RFBR)
Research Fund for Coal and Steel,RFCS,Research Fund for Coal and Steel (RFCS)
Resources for the Future,RFF,Resources for the Future (RFF)
Rete Ferroviaria Italian,RFI,Rete Ferroviaria Italian (RFI)
Research Fellowship Program,RFP,Research Fellowship Program (RFP)
Research Group on Constitutional Studies,RGCS,Research Group on Constitutional Studies (RGCS)
Milwaukee Research Growth Incentive,RGI,Milwaukee Research Growth Incentive (RGI)
Royal Golden Jubilee,RGJ,Royal Golden Jubilee (RGJ)
Royal Geographical Society,RGS,Royal Geographical Society (RGS)
UoM Rural Health Academic Network,RHAN,UoM Rural Health Academic Network (RHAN)
Reducing Health Disparities through Informatics,RHeaDI,Reducing Health Disparities through Informatics (RHeaDI)
Reproductive Health Working Group,RHWG,Reproductive Health Working Group (RHWG)
RIKEN Integrated Cluster of Clusters,RICC,RIKEN Integrated Cluster of Clusters (RICC)
RailTel IITR Centre of Excellence in Telecom,RICET,RailTel IITR Centre of Excellence in Telecom (RICET)
Renewal Innovation  Change Heritage and European Society,RICHES,Renewal Innovation  Change Heritage and European Society (RICHES)
Rhode Island Department of Children Youth and Families,RIDCYF,Rhode Island Department of Children Youth and Families (RIDCYF)
Research Institute for Diseases in the Elderly,RIDE,Research Institute for Diseases in the Elderly (RIDE)
Research Institute for Environment and Livelihoods,RIEL,Research Institute for Environment and Livelihoods (RIEL)
Regional Innovation and Entrepreneurship Research Center,RIERC,Regional Innovation and Entrepreneurship Research Center (RIERC)
Research Initiative Grant Scheme,RIGS,Research Initiative Grant Scheme (RIGS)
Research Institute for Housing America,RIHA,Research Institute for Housing America (RIHA)
Research Institute for Labour and Social Affairs,RILSA,Research Institute for Labour and Social Affairs (RILSA)
Research Initiative for Oceangoing Ships,RIOS,Research Initiative for Oceangoing Ships (RIOS)
Rural Industries Research and Development Corporation,RIRDC,Rural Industries Research and Development Corporation (RIRDC)
Marie SklodowskaCurie Research and Innovation Staff Exchange,RISE,Marie SklodowskaCurie Research and Innovation Staff Exchange (RISE)
UK Research Institute on Trustworthy Industrial Control Systems,RITICS,UK Research Institute on Trustworthy Industrial Control Systems (RITICS)
Rehabilitation Initiative and Technology Platform Zurich,RITZ,Rehabilitation Initiative and Technology Platform Zurich (RITZ)
Risk Management Agency,RMA,Risk Management Agency (RMA)
Royal Museum for Africa,RMCA,Royal Museum for Africa (RMCA)
Royal Malaysian Navy,RMN,Royal Malaysian Navy (RMN)
Research Mentoring Program,RMP,Research Mentoring Program (RMP)
Roads and Maritime Services,RMS,Roads and Maritime Services (RMS)
Reserva Natural das Berlengas,RNB,Reserva Natural das Berlengas (RNB)
Resilience to Natures Challenges,RNC,Resilience to Natures Challenges (RNC)
UK Royal National Lifeboat Institution,RNLI,UK Royal National Lifeboat Institution (RNLI)
Responsive Open Learning Environments,ROLE,Responsive Open Learning Environments (ROLE)
Regional Organization for the Protection of the Marine Environment,ROPME,Regional Organization for the Protection of the Marine Environment (ROPME)
Research Opportunities in Space and Earth Sciences,ROSES,Research Opportunities in Space and Earth Sciences (ROSES)
RESYST Research Project Consortium,RPC,RESYST Research Project Consortium (RPC)
Cyprus Research Promotion Foundation,RPF,Cyprus Research Promotion Foundation (RPF)
Religion and Public Life Program,RPLP,Religion and Public Life Program (RPLP)
Research Promotion Scheme,RPS,Research Promotion Scheme (RPS)
Religious Research Association,RRA,Religious Research Association (RRA)
Regional Research Promotion ProgrammeWestern Balkans,RRPP,Regional Research Promotion ProgrammeWestern Balkans (RRPP)
Reef and Rainforest Research Centre Limited,RRRC,Reef and Rainforest Research Centre Limited (RRRC)
Robert Schuman Centre for Advanced Studies,RSCAS,Robert Schuman Centre for Advanced Studies (RSCAS)
Russian Scientific Foundation,RSCF,Russian Scientific Foundation (RSCF)
Royal Socety of Edinburgh,RSE,Royal Socety of Edinburgh (RSE)
IUPUI Research Support Funds Grant,RSFG,IUPUI Research Support Funds Grant (RSFG)
Reservoir Simulation Joint Industry Project,RSJIP,Reservoir Simulation Joint Industry Project (RSJIP)
Regional Specialized Meteorological Center,RSMC,Regional Specialized Meteorological Center (RSMC)
Research Scholar Program,RSP,Research Scholar Program (RSP)
Royal Society for the Protection of Birds,RSPB,Royal Society for the Protection of Birds (RSPB)
KAUST Red Sea Research Center,RSRC,KAUST Red Sea Research Center (RSRC)
Road Safety Research Partnership Program,RSRPP,Road Safety Research Partnership Program (RSRPP)
NCARCISLs Research and Supercomputing Visitor Program,RSVP,NCARCISLs Research and Supercomputing Visitor Program (RSVP)
Rail Traffic Control and Safety,RTCS,Rail Traffic Control and Safety (RTCS)
Rural Territorial Dynamics,RTD,Rural Territorial Dynamics (RTD)
North Carolina Research Triangle Nanotechnology Network,RTNN,North Carolina Research Triangle Nanotechnology Network (RTNN)
Research Training Program Master of Research,RTPM,Research Training Program Master of Research (RTPM)
Research Training Program Stipend,RTPS,Research Training Program Stipend (RTPS)
Royal Thai Survey Department,RTSD,Royal Thai Survey Department (RTSD)
Rural Womens Social Education Centre,RUWSEC,Rural Womens Social Education Centre (RUWSEC)
Real World Computing,RWC,Real World Computing (RWC)
Robert Wood Johnson Foundation,RWJF,Robert Wood Johnson Foundation (RWJF)
Reef Watch Marine Conservation,RWMC,Reef Watch Marine Conservation (RWMC)
Southern African Accounting Association,SAAA,Southern African Accounting Association (SAAA)
South African Association for Marine Biological Research,SAAMBR,South African Association for Marine Biological Research (SAAMBR)
Society for the Advancement of Behavioral Economics,SABE,Society for the Advancement of Behavioral Economics (SABE)
Saudi Arabian Cultural Bureau,SACB,Saudi Arabian Cultural Bureau (SACB)
Scientific Analytical Facility,SAF,Scientific Analytical Facility (SAF)
South Asia Food and Nutrition Security Initiative,SAFANSI,South Asia Food and Nutrition Security Initiative (SAFANSI)
South African Forestry Company Limited,SAFCOL,South African Forestry Company Limited (SAFCOL)
LOEWE Center of Sustainable Architecture for Finance in Europe,SAFE,LOEWE Center of Sustainable Architecture for Finance in Europe (SAFE)
South African Futures Exchange,SAFEX,South African Futures Exchange (SAFEX)
South African Foreign Policy Initiative,SAFPI,South African Foreign Policy Initiative (SAFPI)
BIOT Scientific Advisory Group,SAG,BIOT Scientific Advisory Group (SAG)
Sustainable Agriculture Environmental Systems,SAGES,Sustainable Agriculture Environmental Systems (SAGES)
South African Deans Association,SAHUDA,South African Deans Association (SAHUDA)
South African Institute for Aquatic Biodiversity,SAIAB,South African Institute for Aquatic Biodiversity (SAIAB)
Sophisticated Analytical Instrumentation Facility,SAIF,Sophisticated Analytical Instrumentation Facility (SAIF)
Self and Identity Lab,SAIL,Self and Identity Lab (SAIL)
NOAAs Stock Assessment Improvement Program,SAIP,NOAAs Stock Assessment Improvement Program (SAIP)
Saudi ARAMCOKAUST Marine Environmental Research Center,SAKMERC,Saudi ARAMCOKAUST Marine Environmental Research Center (SAKMERC)
Southern Africa Labour and Development Research Unit,SALDRU,Southern Africa Labour and Development Research Unit (SALDRU)
Center for Sustainable Arctic Marine and Coastal Technology,SAMCoT,Center for Sustainable Arctic Marine and Coastal Technology (SAMCoT)
Social Assistance and Minimum Income Protection Dataset,SAMIP,Social Assistance and Minimum Income Protection Dataset (SAMIP)
South Atlantic Meridional Overturning Circulation,SAMOC,South Atlantic Meridional Overturning Circulation (SAMOC)
Statistics and Applied Mathematical Sciences Institute,SAMSI,Statistics and Applied Mathematical Sciences Institute (SAMSI)
SubSaharan African Medical Schools Study,SAMSS,SubSaharan African Medical Schools Study (SAMSS)
South African National Biodiversity Institute,SANBI,South African National Biodiversity Institute (SANBI)
South African National Energy Development Institute,SANEDI,South African National Energy Development Institute (SANEDI)
Stochastic Assimilation for the Next Generation Ocean Model Applications,SANGOMA,Stochastic Assimilation for the Next Generation Ocean Model Applications (SANGOMA)
Southern African Prevention and Treatment Intervention Study,SAPTIS,Southern African Prevention and Treatment Intervention Study (SAPTIS)
SinoAustralian Research Centre for Coastal Management,SARCCM,SinoAustralian Research Centre for Coastal Management (SARCCM)
South American Research Group on Coastal Ecosystems,SARCE,South American Research Group on Coastal Ecosystems (SARCE)
Sustainable Agriculture Research and Education,SARE,Sustainable Agriculture Research and Education (SARE)
Special Account for Research Grants,SARG,Special Account for Research Grants (SARG)
Southern Africa Regional Office,SARO,Southern Africa Regional Office (SARO)
Sectoral Applications Research Program,SARP,Sectoral Applications Research Program (SARP)
South African Revenue Service,SARS,South African Revenue Service (SARS)
South African Social Attitudes Survey,SASAS,South African Social Attitudes Survey (SASAS)
Sweetpotato Action for Security and Health in Africa,SASHA,Sweetpotato Action for Security and Health in Africa (SASHA)
South Africa Squid Management Industrial Association,SASMIA,South Africa Squid Management Industrial Association (SASMIA)
Safe Autonomous Systems Operations,SASO,Safe Autonomous Systems Operations (SASO)
Stichting Achmea Slachtoffer en Samenleving,SASS,Stichting Achmea Slachtoffer en Samenleving (SASS)
South African Social Security Agency,SASSA,South African Social Security Agency (SASSA)
Southern African Science Service Center for Climate Change and Adaptive LandUse Management,SASSCAL,Southern African Science Service Center for Climate Change and Adaptive LandUse Management (SASSCAL)
Science Achievement Scholarship of Thailand,SAST,Science Achievement Scholarship of Thailand (SAST)
Swedish AdoptionTwin Study of Aging,SATSA,Swedish AdoptionTwin Study of Aging (SATSA)
South African Weather Service,SAWS,South African Weather Service (SAWS)
School of Business and Tourism,SBaT,School of Business and Tourism (SBaT)
Sarawak Biodiversity Conservation Centre,SBCC,Sarawak Biodiversity Conservation Centre (SBCC)
Syndicate Bank Entrepreneurship Research and Training Centre,SBERTC,Syndicate Bank Entrepreneurship Research and Training Centre (SBERTC)
South Carolina,SC,South Carolina (SC)
Scaling Consumers and Lotic Ecosystem Rates,SCALER,Scaling Consumers and Lotic Ecosystem Rates (SCALER)
Scientific Committee on Antarctic Research,SCAR,Scientific Committee on Antarctic Research (SCAR)
Support Center for Advanced Telecommunications,SCAT,Support Center for Advanced Telecommunications (SCAT)
Society for Conservation Biology,SCB,Society for Conservation Biology (SCB)
Swiss Competence Centres for Energy Research,SCCER,Swiss Competence Centres for Energy Research (SCCER)
Southern California Coastal Ocean Observing System,SCCOOS,Southern California Coastal Ocean Observing System (SCCOOS)
Scottish Carbon Capture  Storage,SCCS,Scottish Carbon Capture  Storage (SCCS)
South Carolina Department of Natural Resources,SCDNR,South Carolina Department of Natural Resources (SCDNR)
Swedish Childhood Diabetes Register,SCDR,Swedish Childhood Diabetes Register (SCDR)
Statistical Challenges in Electronic Commerce Research,SCECR,Statistical Challenges in Electronic Commerce Research (SCECR)
Singapore Centre for Environmental Life Sciences Engineering,SCELSE,Singapore Centre for Environmental Life Sciences Engineering (SCELSE)
Scottish Centre for Ecology and the Natural Environment,SCENE,Scottish Centre for Ecology and the Natural Environment (SCENE)
Southwest Consortium for Environmental Research,SCERP,Southwest Consortium for Environmental Research (SCERP)
Summit Center for Education Research and Training,SCERT,Summit Center for Education Research and Training (SCERT)
Salzburg Centre for European Union Studies,SCEUS,Salzburg Centre for European Union Studies (SCEUS)
Sitespecific Climatefriendly Farming,SCF,Sitespecific Climatefriendly Farming (SCF)
Office of Science Graduate Student Research,SCGSR,Office of Science Graduate Student Research (SCGSR)
School of Health and Related Research,ScHARR,School of Health and Related Research (ScHARR)
Social Care Institute for Excellence,SCIE,Social Care Institute for Excellence (SCIE)
Science Citation Index Expanded,SCI-E,Science Citation Index Expanded (SCI-E)
South Carolina Oyster Restoration and Enhancement,SCORE,South Carolina Oyster Restoration and Enhancement (SCORE)
Strategic Growth Councils Sustainable Communities Planning Grants and Incentives Program,SCPGIP,Strategic Growth Councils Sustainable Communities Planning Grants and Incentives Program (SCPGIP)
Swiss Clinical Quality Management in Rheumatic Diseases,SCQM,Swiss Clinical Quality Management in Rheumatic Diseases (SCQM)
Seed Collaborative Research Fund,SCRF,Seed Collaborative Research Fund (SCRF)
Soft Computing Research Group,SCRG,Soft Computing Research Group (SCRG)
Special Crop Research Initiative,SCRI,Special Crop Research Initiative (SCRI)
Network for Sustainable Climate Risk Management,SCRiM,Network for Sustainable Climate Risk Management (SCRiM)
Studies of Cancer Survivors,SCS,Studies of Cancer Survivors (SCS)
Social Dimensions of Environmental Policy Initiative,SDEP,Social Dimensions of Environmental Policy Initiative (SDEP)
Service Delivery and Organisation,SDO,Service Delivery and Organisation (SDO)
Sustainable Development Policy Institute,SDPI,Sustainable Development Policy Institute (SDPI)
SingaporeDelft Water Alliance,SDWA,SingaporeDelft Water Alliance (SDWA)
Sea Education Association,SEA,Sea Education Association (SEA)
Superefficient Equipment and Appliance Deployment,SEAD,Superefficient Equipment and Appliance Deployment (SEAD)
Support for Economic Analysis Development in Indonesia,SEADI,Support for Economic Analysis Development in Indonesia (SEADI)
Southeast Area Monitoring and Assessment Program,SEAMAP,Southeast Area Monitoring and Assessment Program (SEAMAP)
Society for Experimental Biology,SEB,Society for Experimental Biology (SEB)
Student and Early Career Council,SECC,Student and Early Career Council (SECC)
